                    ************************************************************************************************
                    *  Z= 41 A= 94: Positive-Parity Spin-dependent Level Density [MeV-1] for Nb 94 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.142  2.62E+00 5.24E+00 3.59E+01 3.45E-01 9.05E-01 1.15E+00 1.08E+00 8.15E-01 5.10E-01 2.70E-01 1.22E-01 4.76E-02 1.60E-02 4.64E-03 1.17E-03 2.55E-04 4.84E-05 8.01E-06 1.15E-06 1.44E-07 1.58E-08 1.50E-09 1.25E-10 9.07E-12 5.74E-13 3.17E-14 1.53E-15 6.45E-17 2.37E-18 7.63E-20 2.14E-21 5.26E-23 1.13E-24
   0.50  0.201  6.33E+00 7.42E+00 5.09E+01 4.88E-01 1.28E+00 1.63E+00 1.53E+00 1.15E+00 7.22E-01 3.83E-01 1.73E-01 6.74E-02 2.26E-02 6.56E-03 1.65E-03 3.61E-04 6.85E-05 1.13E-05 1.63E-06 2.04E-07 2.23E-08 2.13E-09 1.77E-10 1.28E-11 8.12E-13 4.49E-14 2.17E-15 9.12E-17 3.36E-18 1.08E-19 3.03E-21 7.44E-23 1.59E-24
   0.75  0.246  1.16E+01 1.05E+01 7.34E+01 6.64E-01 1.75E+00 2.26E+00 2.15E+00 1.65E+00 1.06E+00 5.80E-01 2.72E-01 1.10E-01 3.87E-02 1.18E-02 3.15E-03 7.31E-04 1.48E-04 2.63E-05 4.09E-06 5.56E-07 6.63E-08 6.92E-09 6.33E-10 5.09E-11 3.58E-12 2.21E-13 1.20E-14 5.72E-16 2.39E-17 8.77E-19 2.82E-20 7.99E-22 1.99E-23
   1.00  0.284  1.90E+01 1.49E+01 1.08E+02 8.70E-01 2.32E+00 3.05E+00 2.98E+00 2.38E+00 1.61E+00 9.31E-01 4.68E-01 2.05E-01 7.85E-02 2.64E-02 7.82E-03 2.04E-03 4.70E-04 9.55E-05 1.72E-05 2.73E-06 3.83E-07 4.76E-08 5.24E-09 5.11E-10 4.41E-11 3.38E-12 2.29E-13 1.38E-14 7.33E-16 3.46E-17 1.45E-18 5.38E-20 1.77E-21
   1.25  0.317  2.95E+01 2.10E+01 1.58E+02 1.15E+00 3.08E+00 4.11E+00 4.13E+00 3.41E+00 2.40E+00 1.46E+00 7.78E-01 3.64E-01 1.50E-01 5.50E-02 1.79E-02 5.15E-03 1.32E-03 3.02E-04 6.15E-05 1.12E-05 1.81E-06 2.61E-07 3.37E-08 3.88E-09 3.99E-10 3.67E-11 3.01E-12 2.21E-13 1.45E-14 8.52E-16 4.47E-17 2.09E-18 8.78E-20
   1.50  0.348  4.44E+01 2.97E+01 2.32E+02 1.52E+00 4.10E+00 5.56E+00 5.71E+00 4.86E+00 3.54E+00 2.25E+00 1.26E+00 6.25E-01 2.76E-01 1.08E-01 3.81E-02 1.20E-02 3.38E-03 8.55E-04 1.94E-04 3.96E-05 7.25E-06 1.19E-06 1.77E-07 2.35E-08 2.82E-09 3.04E-10 2.95E-11 2.58E-12 2.03E-13 1.43E-14 9.15E-16 5.26E-17 2.72E-18
   1.75  0.375  6.54E+01 4.21E+01 3.39E+02 2.02E+00 5.49E+00 7.53E+00 7.89E+00 6.88E+00 5.18E+00 3.42E+00 2.00E+00 1.04E+00 4.88E-01 2.05E-01 7.71E-02 2.62E-02 8.02E-03 2.22E-03 5.53E-04 1.25E-04 2.55E-05 4.70E-06 7.85E-07 1.19E-07 1.63E-08 2.02E-09 2.26E-10 2.30E-11 2.12E-12 1.77E-13 1.34E-14 9.22E-16 5.74E-17
   2.00  0.401  9.52E+01 5.96E+01 4.94E+02 2.69E+00 7.36E+00 1.02E+01 1.09E+01 9.71E+00 7.52E+00 5.13E+00 3.13E+00 1.71E+00 8.38E-01 3.72E-01 1.49E-01 5.41E-02 1.78E-02 5.33E-03 1.45E-03 3.58E-04 8.03E-05 1.64E-05 3.05E-06 5.16E-07 7.94E-08 1.11E-08 1.42E-09 1.66E-10 1.76E-11 1.70E-12 1.50E-13 1.20E-14 8.82E-16
