                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.199  6.74E-01 1.35E+00 6.94E+00 2.07E-01 3.22E-01 3.19E-01 2.37E-01 1.40E-01 6.68E-02 2.63E-02 8.59E-03 2.34E-03 5.31E-04 1.01E-04 1.61E-05 2.17E-06 2.45E-07 2.32E-08 1.86E-09 1.26E-10 7.15E-12 3.43E-13 1.39E-14 4.75E-16 1.37E-17 3.34E-19 6.88E-21 1.20E-22 1.76E-24 2.18E-26 2.28E-28 2.02E-30 1.00E-30
   0.50  0.282  1.47E+00 1.59E+00 8.17E+00 2.44E-01 3.80E-01 3.75E-01 2.79E-01 1.64E-01 7.87E-02 3.10E-02 1.01E-02 2.75E-03 6.25E-04 1.19E-04 1.90E-05 2.55E-06 2.88E-07 2.74E-08 2.19E-09 1.48E-10 8.42E-12 4.04E-13 1.64E-14 5.59E-16 1.61E-17 3.93E-19 8.10E-21 1.41E-22 2.07E-24 2.57E-26 2.69E-28 2.38E-30 1.00E-30
   0.75  0.345  2.40E+00 1.87E+00 9.62E+00 2.87E-01 4.47E-01 4.42E-01 3.28E-01 1.93E-01 9.26E-02 3.65E-02 1.19E-02 3.24E-03 7.36E-04 1.40E-04 2.24E-05 3.00E-06 3.39E-07 3.22E-08 2.58E-09 1.74E-10 9.91E-12 4.76E-13 1.93E-14 6.59E-16 1.90E-17 4.63E-19 9.53E-21 1.66E-22 2.43E-24 3.02E-26 3.17E-28 2.81E-30 1.00E-30
   1.00  0.399  3.50E+00 2.20E+00 1.13E+01 3.38E-01 5.27E-01 5.20E-01 3.86E-01 2.28E-01 1.09E-01 4.30E-02 1.40E-02 3.81E-03 8.67E-04 1.65E-04 2.64E-05 3.54E-06 3.99E-07 3.80E-08 3.04E-09 2.05E-10 1.17E-11 5.60E-13 2.27E-14 7.76E-16 2.24E-17 5.46E-19 1.12E-20 1.95E-22 2.87E-24 3.56E-26 3.73E-28 3.30E-30 1.00E-30
   1.25  0.446  4.80E+00 2.59E+00 1.33E+01 3.98E-01 6.20E-01 6.12E-01 4.55E-01 2.68E-01 1.28E-01 5.06E-02 1.65E-02 4.49E-03 1.02E-03 1.94E-04 3.10E-05 4.17E-06 4.70E-07 4.47E-08 3.58E-09 2.42E-10 1.37E-11 6.60E-13 2.67E-14 9.13E-16 2.64E-17 6.42E-19 1.32E-20 2.30E-22 3.38E-24 4.19E-26 4.39E-28 3.89E-30 1.00E-30
   1.50  0.488  6.32E+00 3.05E+00 1.57E+01 4.69E-01 7.30E-01 7.21E-01 5.36E-01 3.16E-01 1.51E-01 5.96E-02 1.94E-02 5.29E-03 1.20E-03 2.29E-04 3.65E-05 4.90E-06 5.54E-07 5.26E-08 4.21E-09 2.84E-10 1.62E-11 7.77E-13 3.15E-14 1.08E-15 3.10E-17 7.56E-19 1.56E-20 2.71E-22 3.97E-24 4.93E-26 5.17E-28 4.58E-30 1.00E-30
   1.75  0.527  8.12E+00 3.59E+00 1.85E+01 5.52E-01 8.60E-01 8.49E-01 6.31E-01 3.72E-01 1.78E-01 7.01E-02 2.29E-02 6.23E-03 1.41E-03 2.69E-04 4.30E-05 5.78E-06 6.52E-07 6.20E-08 4.96E-09 3.35E-10 1.91E-11 9.15E-13 3.70E-14 1.27E-15 3.66E-17 8.91E-19 1.83E-20 3.19E-22 4.68E-24 5.81E-26 6.09E-28 5.40E-30 1.00E-30
   2.00  0.564  1.02E+01 4.23E+00 2.18E+01 6.50E-01 1.01E+00 1.00E+00 7.43E-01 4.38E-01 2.10E-01 8.26E-02 2.70E-02 7.33E-03 1.67E-03 3.17E-04 5.07E-05 6.80E-06 7.68E-07 7.30E-08 5.84E-09 3.94E-10 2.24E-11 1.08E-12 4.36E-14 1.49E-15 4.30E-17 1.05E-18 2.16E-20 3.75E-22 5.51E-24 6.84E-26 7.17E-28 6.35E-30 1.00E-30
   2.25  0.598  1.27E+01 4.98E+00 2.58E+01 7.57E-01 1.18E+00 1.17E+00 8.79E-01 5.23E-01 2.53E-01 1.01E-01 3.36E-02 9.30E-03 2.16E-03 4.20E-04 6.87E-05 9.48E-06 1.10E-06 1.08E-07 8.94E-09 6.25E-10 3.69E-11 1.84E-12 7.79E-14 2.78E-15 8.41E-17 2.15E-18 4.65E-20 8.53E-22 1.32E-23 1.74E-25 1.93E-27 1.82E-29 1.00E-30
   2.50  0.630  1.57E+01 5.87E+00 3.08E+01 8.76E-01 1.37E+00 1.38E+00 1.04E+00 6.28E-01 3.10E-01 1.26E-01 4.29E-02 1.22E-02 2.91E-03 5.86E-04 9.95E-05 1.43E-05 1.73E-06 1.78E-07 1.54E-08 1.14E-09 7.09E-11 3.76E-12 1.69E-13 6.42E-15 2.08E-16 5.70E-18 1.33E-19 2.63E-21 4.42E-23 6.31E-25 7.65E-27 7.88E-29 1.00E-30
   2.75  0.661  1.91E+01 6.91E+00 3.67E+01 1.01E+00 1.60E+00 1.61E+00 1.23E+00 7.54E-01 3.78E-01 1.57E-01 5.46E-02 1.59E-02 3.92E-03 8.14E-04 1.43E-04 2.13E-05 2.69E-06 2.88E-07 2.63E-08 2.03E-09 1.34E-10 7.49E-12 3.57E-13 1.45E-14 4.99E-16 1.47E-17 3.67E-19 7.81E-21 1.42E-22 2.19E-24 2.89E-26 3.25E-28 3.11E-30
   3.00  0.690  2.32E+01 8.14E+00 4.36E+01 1.17E+00 1.86E+00 1.89E+00 1.46E+00 9.04E-01 4.60E-01 1.95E-01 6.93E-02 2.07E-02 5.24E-03 1.12E-03 2.04E-04 3.15E-05 4.14E-06 4.63E-07 4.41E-08 3.58E-09 2.48E-10 1.46E-11 7.38E-13 3.18E-14 1.17E-15 3.66E-17 9.81E-19 2.24E-20 4.39E-22 7.33E-24 1.05E-25 1.28E-27 1.33E-29
   3.25  0.718  2.80E+01 9.58E+00 5.19E+01 1.36E+00 2.16E+00 2.21E+00 1.72E+00 1.08E+00 5.60E-01 2.42E-01 8.76E-02 2.68E-02 6.97E-03 1.54E-03 2.89E-04 4.62E-05 6.30E-06 7.34E-07 7.30E-08 6.21E-09 4.52E-10 2.81E-11 1.50E-12 6.82E-14 2.66E-15 8.90E-17 2.55E-18 6.24E-20 1.31E-21 2.36E-23 3.64E-25 4.81E-27 5.45E-29
   3.50  0.746  3.36E+01 1.13E+01 6.18E+01 1.57E+00 2.51E+00 2.59E+00 2.04E+00 1.30E+00 6.80E-01 2.99E-01 1.11E-01 3.46E-02 9.23E-03 2.09E-03 4.06E-04 6.71E-05 9.50E-06 1.15E-06 1.19E-07 1.06E-08 8.10E-10 5.30E-11 2.98E-12 1.43E-13 5.93E-15 2.11E-16 6.42E-18 1.68E-19 3.79E-21 7.32E-23 1.22E-24 1.74E-26 2.13E-28
   3.75  0.772  4.03E+01 1.33E+01 7.35E+01 1.82E+00 2.92E+00 3.03E+00 2.41E+00 1.55E+00 8.25E-01 3.68E-01 1.39E-01 4.46E-02 1.22E-02 2.84E-03 5.67E-04 9.69E-05 1.42E-05 1.79E-06 1.93E-07 1.79E-08 1.43E-09 9.83E-11 5.81E-12 2.95E-13 1.29E-14 4.87E-16 1.58E-17 4.41E-19 1.06E-20 2.20E-22 3.92E-24 6.03E-26 8.00E-28
   4.00  0.797  4.81E+01 1.56E+01 8.75E+01 2.11E+00 3.40E+00 3.55E+00 2.84E+00 1.85E+00 9.99E-01 4.54E-01 1.74E-01 5.71E-02 1.60E-02 3.83E-03 7.86E-04 1.39E-04 2.11E-05 2.75E-06 3.09E-07 2.99E-08 2.49E-09 1.80E-10 1.11E-11 5.96E-13 2.75E-14 1.10E-15 3.78E-17 1.12E-18 2.88E-20 6.38E-22 1.22E-23 2.02E-25 2.88E-27
