                    ************************************************************************************************
                    *  Z= 24 A= 50: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 50 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.214  1.44E-01 2.88E-01 1.88E+00 2.09E-02 5.40E-02 6.70E-02 6.02E-02 4.29E-02 2.51E-02 1.22E-02 5.01E-03 1.74E-03 5.16E-04 1.30E-04 2.82E-05 5.21E-06 8.25E-07 1.12E-07 1.31E-08 1.31E-09 1.13E-10 8.41E-12 5.36E-13 2.94E-14 1.39E-15 5.66E-17 1.98E-18 5.98E-20 1.55E-21 3.47E-23 6.70E-25 1.11E-26 1.59E-28
   0.50  0.302  3.38E-01 3.89E-01 2.54E+00 2.82E-02 7.29E-02 9.04E-02 8.13E-02 5.79E-02 3.38E-02 1.65E-02 6.77E-03 2.36E-03 6.97E-04 1.76E-04 3.80E-05 7.03E-06 1.11E-06 1.51E-07 1.77E-08 1.77E-09 1.53E-10 1.13E-11 7.24E-13 3.97E-14 1.88E-15 7.64E-17 2.67E-18 8.07E-20 2.10E-21 4.69E-23 9.04E-25 1.50E-26 2.15E-28
   0.75  0.370  5.99E-01 5.22E-01 3.41E+00 3.78E-02 9.79E-02 1.21E-01 1.09E-01 7.78E-02 4.54E-02 2.21E-02 9.09E-03 3.16E-03 9.36E-04 2.37E-04 5.11E-05 9.44E-06 1.50E-06 2.03E-07 2.38E-08 2.38E-09 2.06E-10 1.52E-11 9.72E-13 5.34E-14 2.52E-15 1.03E-16 3.59E-18 1.08E-19 2.82E-21 6.30E-23 1.21E-24 2.02E-26 2.89E-28
   1.00  0.428  9.48E-01 6.98E-01 4.55E+00 5.06E-02 1.31E-01 1.62E-01 1.46E-01 1.04E-01 6.07E-02 2.96E-02 1.22E-02 4.23E-03 1.25E-03 3.16E-04 6.83E-05 1.26E-05 2.00E-06 2.72E-07 3.18E-08 3.19E-09 2.75E-10 2.04E-11 1.30E-12 7.14E-14 3.37E-15 1.37E-16 4.80E-18 1.45E-19 3.76E-21 8.42E-23 1.62E-24 2.70E-26 3.86E-28
   1.25  0.478  1.41E+00 9.29E-01 6.06E+00 6.73E-02 1.74E-01 2.16E-01 1.94E-01 1.38E-01 8.08E-02 3.94E-02 1.62E-02 5.63E-03 1.67E-03 4.21E-04 9.09E-05 1.68E-05 2.66E-06 3.62E-07 4.23E-08 4.24E-09 3.66E-10 2.71E-11 1.73E-12 9.50E-14 4.49E-15 1.83E-16 6.39E-18 1.93E-19 5.01E-21 1.12E-22 2.16E-24 3.59E-26 5.14E-28
   1.50  0.524  2.03E+00 1.23E+00 8.03E+00 8.92E-02 2.31E-01 2.86E-01 2.57E-01 1.83E-01 1.07E-01 5.22E-02 2.14E-02 7.46E-03 2.21E-03 5.58E-04 1.20E-04 2.23E-05 3.53E-06 4.80E-07 5.60E-08 5.62E-09 4.85E-10 3.59E-11 2.29E-12 1.26E-13 5.95E-15 2.42E-16 8.47E-18 2.56E-19 6.64E-21 1.49E-22 2.86E-24 4.76E-26 6.81E-28
   1.75  0.566  2.84E+00 1.63E+00 1.06E+01 1.18E-01 3.05E-01 3.78E-01 3.40E-01 2.42E-01 1.41E-01 6.90E-02 2.83E-02 9.85E-03 2.92E-03 7.36E-04 1.59E-04 2.94E-05 4.66E-06 6.34E-07 7.40E-08 7.42E-09 6.40E-10 4.75E-11 3.03E-12 1.66E-13 7.85E-15 3.19E-16 1.12E-17 3.37E-19 8.77E-21 1.96E-22 3.78E-24 6.28E-26 8.99E-28
   2.00  0.605  3.91E+00 2.14E+00 1.40E+01 1.55E-01 4.01E-01 4.98E-01 4.47E-01 3.19E-01 1.86E-01 9.07E-02 3.73E-02 1.30E-02 3.84E-03 9.69E-04 2.09E-04 3.87E-05 6.13E-06 8.34E-07 9.73E-08 9.77E-09 8.42E-10 6.25E-11 3.98E-12 2.19E-13 1.03E-14 4.20E-16 1.47E-17 4.44E-19 1.15E-20 2.58E-22 4.98E-24 8.27E-26 1.18E-27
