ldmodel1                ldmodel5            ldmodel6
2.74838                 1.71071             3.45353
1.45264                 1.71591             11.09739
2.42857                 2.26815             2.04768
1.96251                 1.44541             2.35289
2.92374                 2.51779             16.26730
1.35212                 1.68980             4.00460
2.88797                 2.09600             5.28165
2.22930                 1.18756             2.58483
1.64936                 1.59626             3.20438
0.67544                 0.98967             1.83818
2.70290                 1.17535             2.30719
0.78382                 0.72211             1.59945
2.01950                 1.53001             2.50563
0.81732                 1.02952             2.12230
0.51353                 0.74100             1.19601
0.60012                 0.88485             3.15893
0.57600                 0.78675             2.67290
0.42608                 0.59364             1.22605
0.49350                 1.38128             3.74196
0.62723                 2.65716             5.33580
0.70305                 1.17955             2.88837
0.48796                 1.10374             2.37045
