ldmodel1                ldmodel5            ldmodel6
526.34570               140.40715           162.62828    
2503.78149              1519.62097          8811.65723
1134.75867              365.65814           320.47699
959.63403               531.32538           1116.79919
1050.52307              416.08740           2863.81860
679.44757               554.79999           1095.83691
415.44891               120.75093           352.43750
738.99402               312.63165           486.30035
377.01865               122.45807           339.62549
317.89331               405.13510           671.98688
300.93457               83.27645            116.93118
205.72702               158.58566           142.63350
300.83920               110.43526           101.07319
189.69838               118.56767           105.12467
64.04184                88.42810            90.23678
7.48024                 4.54093             9.41535
8.91196                 7.48682             23.38381
11.06819                13.42824            17.09562
1.73904                 2.75774             15.30416
3.81309                 18.52079            38.12625
21.54396                96.82145            174.56673
42.53430                273.36423           372.44794
