# Basic Learning Model - Validating Test Case - Score: 0.8693 - MSE: 80.4992 
#Z   A   D0   dD   mlD0   mldD   mlD0/D0   d(mlD0/D0) 
38   88   0.29   0.08   1.8959   0.7912   6.5376   3.2706
28   62   2.1   0.15   11.0233   1.1302   5.2492   0.6559
36   85   4.0   0.4   0.5966   1.0235   0.1492   0.2564
72   178   0.0024   0.0003   0.0424   0.5228   17.6846   217.8459
52   126   0.043   0.003   1.2871   0.7347   29.9327   17.2123
70   177   0.24   0.02   0.1132   0.5212   0.4715   2.1721
74   181   0.02   0.007   0.0431   0.5227   2.155   26.1446
93   239   0.00041   0.0001   0.0106   0.5163   25.918   1259.3151
77   192   0.0025   0.0003   0.0221   0.5054   8.855   202.1791
48   115   0.21   0.02   0.136   0.6187   0.6476   2.9468
62   150   0.0024   0.0002   0.0585   0.5436   24.3576   226.4895
78   193   0.0314   0.0013   0.0556   0.4919   1.7707   15.6665
92   233   0.0046   0.0005   0.0012   0.5145   0.2561   111.8672
74   187   0.099   0.008   0.0313   0.5267   0.3159   5.3215
43   100   0.014   0.0012   0.7051   0.5984   50.3669   42.9631
54   130   0.038   0.005   0.4389   1.017   11.5513   26.8057
72   177   0.03   0.007   0.0265   0.5022   0.8822   16.7421
23   52   4.0   0.6   8.4963   6.8585   2.1241   1.744
36   81   0.28   0.08   0.5318   0.8224   1.8991   2.9868
60   143   1.03   0.135   0.3802   0.8303   0.3691   0.8076
54   133   0.75   0.23   0.3855   1.1047   0.514   1.4812
38   89   23.7   2.9   2.1494   0.7765   0.0907   0.0346
76   187   0.029   0.002   0.0112   0.5175   0.3861   17.8443
36   84   0.2   0.1   1.3772   0.9933   6.8862   6.0434
41   94   0.094   0.01   1.5194   1.1543   16.1634   12.3998
60   148   0.004   0.0015   0.199   0.571   49.7625   143.9707
24   51   12.5   1.2   21.1675   6.8807   1.6934   0.574
36   87   29.0   1.5   1.5817   0.9606   0.0545   0.0332
73   182   0.0042   0.0003   0.0164   0.5288   3.903   125.9108
56   135   0.371   0.036   0.0849   0.6271   0.2288   1.6904
48   114   0.0248   0.0026   0.1043   0.5401   4.2076   21.7825
20   44   1.8   0.3   20.5262   4.2488   11.4034   3.0305
80   199   0.105   0.035   0.2048   0.5307   1.9508   5.0964
56   139   18.7   2.9   0.4926   0.8072   0.0263   0.0433
50   113   0.158   0.047   0.1401   0.5229   0.8866   3.3199
64   159   0.082   0.006   0.0187   0.5405   0.2282   6.5906
50   115   0.286   0.11   0.1158   0.5876   0.4049   2.0603
90   233   0.0165   0.0004   0.0041   0.5176   0.2493   31.363
28   59   13.4   0.9   11.2416   3.2728   0.8389   0.2506
51   124   0.024   0.003   1.7757   1.4195   73.9892   59.8663
52   125   0.22   0.03   1.0755   0.7157   4.8885   3.3209
25   56   2.3   0.4   38.9852   9.1156   16.9501   4.9394
20   45   24.1   3.2   15.9072   4.2205   0.66   0.1958
90   230   0.00062   0.00012   0.0064   0.5168   10.2906   833.5742
71   177   0.00161   0.00016   0.0516   0.5244   32.0343   325.7576
64   154   0.003   0.0006   0.0129   0.5247   4.3025   174.9131
28   63   16.0   3.0   13.3167   4.9619   0.8323   0.3472
98   253   0.027   0.003   0.0036   0.5195   0.1328   19.2475
39   90   3.7   0.4   3.455   1.4887   0.9338   0.4148
63   153   0.00056   0.0002   0.0049   0.5195   8.6838   927.6167
92   235   0.0112   0.0008   0.0013   0.5146   0.1182   45.9542
36   79   0.25   0.08   0.3695   0.7482   1.478   3.03
31   72   0.38   0.06   2.5506   1.4068   6.7121   3.8508
50   121   1.25   0.2   0.3075   0.7323   0.246   0.5872
24   54   6.7   0.6   36.3008   12.0421   5.418   1.8617
24   53   32.0   3.5   22.549   8.0301   0.7047   0.2625
82   208   30.0   8.0   39.7336   14.9928   1.3245   0.612
