# Basic Learning Model - Showing Test Case of Asymmetric Nuclei - Score: 0.9093 - MSE: 2.9554 
#Z   A   D0   dD   mlD0   mlDd   mlD0/D0   d(mlD0/D0) 
32   73   1.5   0.3   2.2872   1.2705    1.5248    0.9002
36   79   0.25   0.08   1.2914   0.9434    5.1657    4.1198
90   229   0.005   0.003   0.0177   0.6224    3.5449    124.5
60   151   0.165   0.015   0.1707   0.5934    1.0344    3.5975
50   121   1.25   0.2   1.1971   0.7529    0.9576    0.6214
72   175   0.018   0.005   0.0801   0.6076    4.4493    33.7767
42   99   1.0   0.2   1.7422   1.2072    1.7422    1.2564
64   159   0.082   0.006   0.0193   0.6219    0.2352    7.5829
48   107   0.165   0.035   0.203   0.6091    1.2305    3.7009
78   199   0.34   0.09   0.229   0.6029    0.6736    1.7821
95   243   0.00027   3e-05   0.014   0.6213    51.9876    2300.9782
52   129   1.51   0.37   0.7194   0.5252    0.4764    0.3668
64   157   0.03   0.006   0.0122   0.6247    0.4064    20.8245
50   115   0.286   0.11   0.4712   0.5125    1.6475    1.9006
50   113   0.158   0.047   0.3201   0.534    2.0257    3.4332
34   81   2.4   0.8   1.568   0.9691    0.6533    0.4588
48   113   0.19   0.025   0.1832   0.5897    0.9643    3.1066
50   125   5.0   1.0   1.4453   0.598    0.2891    0.1329
76   193   0.115   0.06   0.0381   0.6212    0.3309    5.4047
76   189   0.047   0.004   0.0449   0.6192    0.9549    13.1756
24   51   12.5   1.2   21.1882   10.2528    1.6951    0.8362
42   101   0.62   0.1   1.1885   0.8863    1.9169    1.4627
72   181   0.094   0.015   0.0137   0.6202    0.146    6.5998
52   123   0.146   0.014   1.3232   0.6804    9.0632    4.7408
94   241   0.013   0.0005   0.0087   0.6226    0.6713    47.8897
46   111   0.275   0.08   0.1895   0.5976    0.6889    2.1822
28   63   16.0   3.0   15.8451   2.3701    0.9903    0.2375
58   137   0.06   0.02   1.9944   1.1922    33.2405    22.7502
64   161   0.18   0.02   0.0243   0.6223    0.135    3.4585
26   57   25.4   2.2   25.8504   7.8307    1.0177    0.3206
72   179   0.057   0.006   0.0207   0.6206    0.3639    10.8867
70   177   0.24   0.02   0.083   0.623    0.3459    2.5961
66   163   0.062   0.005   0.034   0.6186    0.5479    9.9782
