# Basic Learning Model - Showing Test Case of Average Radiative Width - Score:0.9583 - MSE: 40850.7693 
#Z   A   Gg   dG   mlGg   mldG   mlGg/gg   d(mlGg/gg)
38   88   150   40   198.68   9.5146   1.3245   0.3589
28   62   2000   500   1332.1   331.6162   0.666   0.235
36   87   153   20   261.1776   18.3315   1.707   0.2533
72   179   54   5   64.4114   17.9641   1.1928   0.3505
52   127   53   15   96.1501   23.288   1.8142   0.6758
70   174   74   5   77.8585   12.0243   1.0521   0.1774
74   181   70   15   54.788   10.9206   0.7827   0.2291
93   238   40.8   1.2   32.2705   23.4976   0.7909   0.5764
77   192   81   11   96.77   16.8134   1.1947   0.2635
48   112   106   15   77.918   22.6907   0.7351   0.238
62   149   44   4   61.6292   16.8651   1.4007   0.4039
78   197   120   20   116.7765   16.6408   0.9731   0.2134
92   235   26   4   39.4079   20.0178   1.5157   0.8045
74   187   51   7   62.726   15.6052   1.2299   0.3495
43   100   140   15   101.13   18.1119   0.7224   0.1508
54   135   138.274   844.3766064861343   128.1758   5.0332   0.927   5.6609
72   178   66   5   63.2304   21.8587   0.958   0.339
23   51   600   200   1107.1592   104.9226   1.8453   0.6395
36   84   210   100   267.0697   23.3586   1.2718   0.6157
60   145   47   5   75.6868   22.0513   1.6104   0.4995
54   133   114.548   500.58464304867584   113.9349   7.3791   0.9946   4.347
38   89   190   50   194.334   12.8444   1.0228   0.2775
76   191   90.0   549.1855162488546   92.02   13.2468   1.0224   6.2405
36   85   160   30   261.2426   22.9979   1.6328   0.3382
41   94   170   10   146.732   11.4454   0.8631   0.0843
60   146   58   7   69.0695   25.809   1.1909   0.4676
24   53   2000   500   1333.3917   79.6385   0.6667   0.1714
36   79   256.892   595.0448170690979   293.32   21.1903   1.1418   2.6461
73   182   57   3   53.8049   13.6791   0.9439   0.2451
56   136   135   25   86.2054   21.0442   0.6386   0.1957
48   113   77   5   91.558   31.5067   1.1891   0.4164
20   44   750   40   1133.6413   138.5327   1.5115   0.2015
80   199   120   20   231.821   41.6502   1.9318   0.4734
56   134   94.808   892.3837068477696   94.704   19.9434   0.9989   9.4045
50   115   80.668   658.6607736005217   73.668   30.3419   0.9132   7.4658
64   153   54   5   116.32   36.0478   2.1541   0.6967
50   123   73.586   256.66443599422837   68.9311   23.7599   0.9367   3.2831
90   233   24   2   33.924   24.3622   1.4135   1.0219
28   59   2030   800   1709.3   347.5162   0.842   0.3734
51   122   100   20   68.0532   3.4241   0.6805   0.1403
52   129   35   5   85.5528   1.3592   2.4444   0.3514
25   56   750   150   1430.2213   91.5135   1.907   0.4004
20   45   1300   400   1070.9213   88.0045   0.8238   0.2624
90   230   43   4   34.0564   25.1317   0.792   0.5891
71   177   63   14   68.9024   17.7969   1.0937   0.3727
64   158   97   10   92.9193   8.6596   0.9579   0.1331
28   63   910   270   1131.188   146.2225   1.2431   0.4023
98   253   34.528   407.52819314493354   34.4421   23.7911   0.9975   11.7935
39   90   130   40   160.776   25.2205   1.2367   0.4271
63   152   92   12   129.88   21.5797   1.4117   0.2982
92   239   23.6   .8   28.9648   23.2641   1.2273   0.9866
36   81   230   60   277.8633   26.3338   1.2081   0.3353
31   72   230   20   201.668   40.7373   0.8768   0.1928
50   118   117   20   54.55   19.4408   0.4662   0.1843
24   55   1500   500   1394.7371   102.9613   0.9298   0.3174
24   54   1400   500   1410.6499   111.8917   1.0076   0.3686
82   205   730   70   1265.936   297.5276   1.7342   0.4402
