# Basic Learning Model - Showing Test Case of Symmetric Nuclei - Score: 0.8653 - MSE: 0.7873 
#Z   A   D0   dD   mlD0   mlDd   mlD0/D0   d(mlD0/D0) 
92   236   0.00045   3e-05   0.001   0.2725    2.2698    605.5049
32   74   0.062   0.015   0.3049   0.235    4.9179    3.9721
81   206   4.0   0.4   4.466   4.4953    1.1165    1.1294
46   106   0.0103   0.0005   0.0295   0.2674    2.8617    25.9565
20   44   1.8   0.3   2.463   1.1452    1.3683    0.6758
48   114   0.0248   0.0026   0.0209   0.2683    0.8434    10.8198
28   60   2.0   0.7   2.2689   0.6864    1.1345    0.5248
22   48   1.75   0.25   3.003   0.8922    1.716    0.5657
49   116   0.0095   0.0005   0.0224   0.2684    2.3539    28.2495
46   108   0.011   0.0008   0.0278   0.2675    2.5279    24.3204
25   56   2.3   0.4   6.3633   1.3181    2.7667    0.7483
54   132   0.049   0.008   0.0313   0.2687    0.6391    5.4852
42   96   0.081   0.014   0.144   0.2607    1.7775    3.2336
64   154   0.003   0.0006   0.0018   0.2718    0.6098    90.5997
64   156   0.0017   0.0002   0.004   0.2714    2.3324    159.6322
76   190   0.0034   0.0004   0.0046   0.2716    1.3632    79.8901
67   166   0.0042   0.0005   0.0057   0.2707    1.3536    64.4645
68   168   0.0042   0.0003   0.007   0.2709    1.6696    64.4901
72   178   0.0024   0.0003   0.0043   0.2717    1.7783    113.2241
59   142   0.11   0.02   0.0662   0.2682    0.6018    2.4407
42   98   0.06   0.01   0.074   0.2681    1.2328    4.4728
31   70   0.316   0.041   0.4555   0.2554    1.4416    0.8297
57   140   0.22   0.02   0.241   0.2487    1.0953    1.1347
55   136   0.051   0.026   0.0395   0.2697    0.7754    5.3025
