                    ************************************************************************************************
                    *  Z= 22 A= 50: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 50 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.211  1.58E-01 3.15E-01 1.56E+00 3.92E-02 9.09E-02 9.07E-02 5.89E-02 2.72E-02 9.22E-03 2.34E-03 4.49E-04 6.55E-05 7.29E-06 6.21E-07 4.06E-08 2.03E-09 7.85E-11 2.33E-12 5.33E-14 9.40E-16 1.28E-17 1.34E-19 1.08E-21 6.77E-24 3.26E-26 1.21E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.298  3.15E-01 3.15E-01 1.56E+00 3.92E-02 9.09E-02 9.07E-02 5.89E-02 2.72E-02 9.22E-03 2.34E-03 4.49E-04 6.55E-05 7.29E-06 6.21E-07 4.06E-08 2.03E-09 7.85E-11 2.33E-12 5.33E-14 9.40E-16 1.28E-17 1.34E-19 1.08E-21 6.77E-24 3.26E-26 1.21E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.365  4.73E-01 3.15E-01 1.56E+00 3.92E-02 9.09E-02 9.07E-02 5.89E-02 2.72E-02 9.22E-03 2.34E-03 4.49E-04 6.55E-05 7.29E-06 6.21E-07 4.06E-08 2.03E-09 7.85E-11 2.33E-12 5.33E-14 9.40E-16 1.28E-17 1.34E-19 1.08E-21 6.77E-24 3.26E-26 1.21E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.422  6.31E-01 3.15E-01 1.56E+00 3.92E-02 9.09E-02 9.07E-02 5.89E-02 2.72E-02 9.22E-03 2.34E-03 4.49E-04 6.55E-05 7.29E-06 6.21E-07 4.06E-08 2.03E-09 7.85E-11 2.33E-12 5.33E-14 9.40E-16 1.28E-17 1.34E-19 1.08E-21 6.77E-24 3.26E-26 1.21E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.472  7.89E-01 3.15E-01 1.56E+00 3.92E-02 9.09E-02 9.07E-02 5.89E-02 2.72E-02 9.22E-03 2.34E-03 4.49E-04 6.55E-05 7.29E-06 6.21E-07 4.06E-08 2.03E-09 7.85E-11 2.33E-12 5.33E-14 9.40E-16 1.28E-17 1.34E-19 1.08E-21 6.77E-24 3.26E-26 1.21E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.517  9.42E-01 3.07E-01 1.52E+00 3.81E-02 8.84E-02 8.82E-02 5.72E-02 2.64E-02 8.96E-03 2.27E-03 4.36E-04 6.36E-05 7.08E-06 6.03E-07 3.94E-08 1.98E-09 7.63E-11 2.27E-12 5.18E-14 9.14E-16 1.24E-17 1.30E-19 1.05E-21 6.58E-24 3.17E-26 1.18E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.558  1.15E+00 4.16E-01 2.06E+00 5.16E-02 1.20E-01 1.20E-01 7.76E-02 3.58E-02 1.21E-02 3.08E-03 5.92E-04 8.63E-05 9.60E-06 8.18E-07 5.34E-08 2.68E-09 1.03E-10 3.07E-12 7.03E-14 1.24E-15 1.68E-17 1.76E-19 1.43E-21 8.92E-24 4.30E-26 1.60E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.597  1.45E+00 5.95E-01 2.94E+00 7.38E-02 1.71E-01 1.71E-01 1.11E-01 5.12E-02 1.74E-02 4.41E-03 8.46E-04 1.23E-04 1.37E-05 1.17E-06 7.64E-08 3.83E-09 1.48E-10 4.39E-12 1.00E-13 1.77E-15 2.41E-17 2.52E-19 2.04E-21 1.28E-23 6.15E-26 2.29E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
