                    ************************************************************************************************
                    *  Z= 27 A= 59: Positive-Parity Spin-dependent Level Density [MeV-1] for Co 59 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.194  1.84E-01 3.67E-01 2.03E+00 5.06E-02 8.10E-02 8.38E-02 6.66E-02 4.27E-02 2.27E-02 1.01E-02 3.80E-03 1.21E-03 3.30E-04 7.67E-05 1.52E-05 2.59E-06 3.77E-07 4.72E-08 5.06E-09 4.67E-10 3.70E-11 2.52E-12 1.48E-13 7.43E-15 3.22E-16 1.20E-17 3.86E-19 1.07E-20 2.54E-22 5.19E-24 9.16E-26 1.39E-27 1.82E-29
   0.50  0.274  4.59E-01 5.51E-01 3.04E+00 7.58E-02 1.21E-01 1.26E-01 9.98E-02 6.40E-02 3.40E-02 1.52E-02 5.70E-03 1.82E-03 4.95E-04 1.15E-04 2.28E-05 3.88E-06 5.66E-07 7.07E-08 7.59E-09 7.00E-10 5.54E-11 3.78E-12 2.21E-13 1.11E-14 4.83E-16 1.80E-17 5.78E-19 1.60E-20 3.80E-22 7.78E-24 1.37E-25 2.09E-27 2.73E-29
   0.75  0.336  8.53E-01 7.87E-01 4.35E+00 1.08E-01 1.73E-01 1.80E-01 1.43E-01 9.15E-02 4.86E-02 2.17E-02 8.15E-03 2.60E-03 7.07E-04 1.64E-04 3.26E-05 5.55E-06 8.08E-07 1.01E-07 1.08E-08 1.00E-09 7.92E-11 5.40E-12 3.16E-13 1.59E-14 6.90E-16 2.57E-17 8.26E-19 2.28E-20 5.43E-22 1.11E-23 1.96E-25 2.98E-27 3.90E-29
   1.00  0.388  1.40E+00 1.10E+00 6.08E+00 1.51E-01 2.43E-01 2.51E-01 1.99E-01 1.28E-01 6.80E-02 3.03E-02 1.14E-02 3.64E-03 9.90E-04 2.30E-04 4.56E-05 7.76E-06 1.13E-06 1.41E-07 1.52E-08 1.40E-09 1.11E-10 7.55E-12 4.42E-13 2.23E-14 9.65E-16 3.60E-17 1.16E-18 3.19E-20 7.60E-22 1.56E-23 2.74E-25 4.17E-27 5.45E-29
   1.25  0.433  2.16E+00 1.52E+00 8.41E+00 2.09E-01 3.36E-01 3.47E-01 2.76E-01 1.77E-01 9.41E-02 4.19E-02 1.58E-02 5.03E-03 1.37E-03 3.18E-04 6.31E-05 1.07E-05 1.56E-06 1.96E-07 2.10E-08 1.94E-09 1.53E-10 1.04E-11 6.12E-13 3.08E-14 1.34E-15 4.98E-17 1.60E-18 4.42E-20 1.05E-21 2.15E-23 3.80E-25 5.77E-27 7.54E-29
   1.50  0.475  3.21E+00 2.09E+00 1.15E+01 2.87E-01 4.60E-01 4.77E-01 3.78E-01 2.43E-01 1.29E-01 5.74E-02 2.16E-02 6.90E-03 1.88E-03 4.36E-04 8.65E-05 1.47E-05 2.14E-06 2.68E-07 2.88E-08 2.65E-09 2.10E-10 1.43E-11 8.39E-13 4.22E-14 1.83E-15 6.83E-17 2.19E-18 6.06E-20 1.44E-21 2.95E-23 5.20E-25 7.91E-27 1.03E-28
   1.75  0.513  4.63E+00 2.84E+00 1.57E+01 3.91E-01 6.26E-01 6.48E-01 5.14E-01 3.30E-01 1.75E-01 7.81E-02 2.94E-02 9.39E-03 2.55E-03 5.93E-04 1.18E-04 2.00E-05 2.92E-06 3.65E-07 3.91E-08 3.61E-09 2.86E-10 1.95E-11 1.14E-12 5.74E-14 2.49E-15 9.29E-17 2.98E-18 8.24E-20 1.96E-21 4.01E-23 7.08E-25 1.08E-26 1.41E-28
   2.00  0.548  6.54E+00 3.83E+00 2.12E+01 5.27E-01 8.44E-01 8.74E-01 6.94E-01 4.45E-01 2.37E-01 1.05E-01 3.97E-02 1.27E-02 3.44E-03 8.00E-04 1.59E-04 2.70E-05 3.93E-06 4.92E-07 5.28E-08 4.87E-09 3.86E-10 2.63E-11 1.54E-12 7.75E-14 3.36E-15 1.25E-16 4.02E-18 1.11E-19 2.64E-21 5.41E-23 9.55E-25 1.45E-26 1.90E-28
   2.25  0.582  9.09E+00 5.09E+00 2.84E+01 6.89E-01 1.11E+00 1.15E+00 9.24E-01 6.00E-01 3.23E-01 1.46E-01 5.60E-02 1.83E-02 5.08E-03 1.21E-03 2.47E-04 4.33E-05 6.53E-06 8.46E-07 9.43E-08 9.05E-09 7.48E-10 5.33E-11 3.28E-12 1.74E-13 7.93E-15 3.12E-16 1.06E-17 3.12E-19 7.89E-21 1.72E-22 3.25E-24 5.30E-26 7.45E-28
   2.50  0.613  1.24E+01 6.65E+00 3.78E+01 8.74E-01 1.41E+00 1.49E+00 1.21E+00 8.04E-01 4.44E-01 2.07E-01 8.23E-02 2.79E-02 8.13E-03 2.03E-03 4.38E-04 8.15E-05 1.31E-05 1.81E-06 2.17E-07 2.26E-08 2.03E-09 1.57E-10 1.06E-11 6.18E-13 3.12E-14 1.37E-15 5.19E-17 1.71E-18 4.88E-20 1.21E-21 2.59E-23 4.82E-25 7.79E-27
   2.75  0.643  1.67E+01 8.64E+00 5.00E+01 1.10E+00 1.80E+00 1.91E+00 1.58E+00 1.07E+00 6.05E-01 2.91E-01 1.19E-01 4.20E-02 1.27E-02 3.34E-03 7.57E-04 1.49E-04 2.53E-05 3.74E-06 4.81E-07 5.36E-08 5.20E-09 4.38E-10 3.21E-11 2.05E-12 1.14E-13 5.51E-15 2.32E-16 8.50E-18 2.71E-19 7.55E-21 1.83E-22 3.86E-24 7.09E-26
   3.00  0.672  2.23E+01 1.12E+01 6.58E+01 1.38E+00 2.27E+00 2.44E+00 2.05E+00 1.41E+00 8.17E-01 4.03E-01 1.70E-01 6.22E-02 1.96E-02 5.37E-03 1.28E-03 2.64E-04 4.76E-05 7.46E-06 1.02E-06 1.22E-07 1.27E-08 1.16E-09 9.20E-11 6.39E-12 3.88E-13 2.06E-14 9.55E-16 3.87E-17 1.37E-18 4.26E-20 1.16E-21 2.75E-23 5.71E-25
   3.25  0.699  2.95E+01 1.43E+01 8.59E+01 1.73E+00 2.85E+00 3.10E+00 2.63E+00 1.84E+00 1.09E+00 5.52E-01 2.40E-01 9.07E-02 2.97E-02 8.47E-03 2.11E-03 4.57E-04 8.68E-05 1.44E-05 2.09E-06 2.67E-07 2.98E-08 2.91E-09 2.50E-10 1.88E-11 1.24E-12 7.18E-14 3.65E-15 1.63E-16 6.38E-18 2.19E-19 6.63E-21 1.76E-22 4.10E-24
   3.50  0.725  3.86E+01 1.83E+01 1.12E+02 2.15E+00 3.56E+00 3.91E+00 3.36E+00 2.40E+00 1.45E+00 7.49E-01 3.36E-01 1.31E-01 4.43E-02 1.31E-02 3.40E-03 7.73E-04 1.54E-04 2.70E-05 4.16E-06 5.62E-07 6.69E-08 7.00E-09 6.45E-10 5.23E-11 3.74E-12 2.35E-13 1.30E-14 6.36E-16 2.73E-17 1.04E-18 3.46E-20 1.02E-21 2.65E-23
   3.75  0.751  5.02E+01 2.32E+01 1.44E+02 2.66E+00 4.43E+00 4.90E+00 4.27E+00 3.09E+00 1.90E+00 1.01E+00 4.63E-01 1.86E-01 6.50E-02 2.00E-02 5.39E-03 1.28E-03 2.68E-04 4.93E-05 8.00E-06 1.15E-06 1.45E-07 1.62E-08 1.59E-09 1.39E-10 1.07E-11 7.26E-13 4.36E-14 2.32E-15 1.09E-16 4.53E-18 1.66E-19 5.41E-21 1.56E-22
   4.00  0.775  6.49E+01 2.94E+01 1.85E+02 3.27E+00 5.48E+00 6.12E+00 5.40E+00 3.96E+00 2.48E+00 1.34E+00 6.33E-01 2.61E-01 9.43E-02 3.00E-02 8.41E-03 2.08E-03 4.54E-04 8.77E-05 1.50E-05 2.27E-06 3.03E-07 3.60E-08 3.78E-09 3.52E-10 2.90E-11 2.13E-12 1.38E-13 7.95E-15 4.06E-16 1.84E-17 7.41E-19 2.64E-20 8.37E-22
