                    ************************************************************************************************
                    *  Z= 31 A= 67: Positive-Parity Spin-dependent Level Density [MeV-1] for Ga 67 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.171  2.94E-01 5.87E-01 3.74E+00 6.42E-02 1.08E-01 1.21E-01 1.08E-01 7.99E-02 5.07E-02 2.78E-02 1.33E-02 5.60E-03 2.07E-03 6.73E-04 1.94E-04 4.92E-05 1.11E-05 2.21E-06 3.91E-07 6.13E-08 8.53E-09 1.05E-09 1.16E-10 1.13E-11 9.77E-13 7.52E-14 5.15E-15 3.13E-16 1.69E-17 8.14E-19 3.48E-20 1.32E-21 4.48E-23
   0.50  0.241  7.83E-01 9.78E-01 6.23E+00 1.07E-01 1.80E-01 2.02E-01 1.79E-01 1.33E-01 8.44E-02 4.64E-02 2.22E-02 9.32E-03 3.44E-03 1.12E-03 3.22E-04 8.20E-05 1.85E-05 3.68E-06 6.51E-07 1.02E-07 1.42E-08 1.76E-09 1.93E-10 1.88E-11 1.63E-12 1.25E-13 8.58E-15 5.22E-16 2.82E-17 1.36E-18 5.80E-20 2.21E-21 7.46E-23
   0.75  0.295  1.56E+00 1.55E+00 9.89E+00 1.70E-01 2.85E-01 3.20E-01 2.85E-01 2.11E-01 1.34E-01 7.35E-02 3.52E-02 1.48E-02 5.46E-03 1.78E-03 5.12E-04 1.30E-04 2.93E-05 5.84E-06 1.03E-06 1.62E-07 2.26E-08 2.79E-09 3.06E-10 2.98E-11 2.58E-12 1.99E-13 1.36E-14 8.27E-16 4.47E-17 2.15E-18 9.20E-20 3.50E-21 1.18E-22
   1.00  0.341  2.76E+00 2.41E+00 1.53E+01 2.63E-01 4.43E-01 4.97E-01 4.41E-01 3.28E-01 2.08E-01 1.14E-01 5.46E-02 2.29E-02 8.47E-03 2.76E-03 7.93E-04 2.02E-04 4.54E-05 9.06E-06 1.60E-06 2.51E-07 3.50E-08 4.32E-09 4.74E-10 4.62E-11 4.01E-12 3.08E-13 2.11E-14 1.28E-15 6.94E-17 3.34E-18 1.43E-19 5.43E-21 1.84E-22
   1.25  0.381  4.59E+00 3.66E+00 2.33E+01 4.01E-01 6.74E-01 7.56E-01 6.72E-01 4.98E-01 3.16E-01 1.74E-01 8.32E-02 3.49E-02 1.29E-02 4.20E-03 1.21E-03 3.07E-04 6.91E-05 1.38E-05 2.44E-06 3.82E-07 5.32E-08 6.58E-09 7.22E-10 7.04E-11 6.10E-12 4.69E-13 3.21E-14 1.95E-15 1.06E-16 5.08E-18 2.17E-19 8.26E-21 2.79E-22
   1.50  0.418  7.29E+00 5.40E+00 3.50E+01 5.75E-01 9.71E-01 1.10E+00 9.88E-01 7.44E-01 4.80E-01 2.70E-01 1.32E-01 5.72E-02 2.18E-02 7.34E-03 2.19E-03 5.81E-04 1.37E-04 2.86E-05 5.33E-06 8.83E-07 1.30E-07 1.71E-08 2.00E-09 2.09E-10 1.94E-11 1.61E-12 1.19E-13 7.85E-15 4.62E-16 2.43E-17 1.14E-18 4.75E-20 1.77E-21
   1.75  0.451  1.12E+01 7.83E+00 5.16E+01 8.12E-01 1.38E+00 1.57E+00 1.43E+00 1.09E+00 7.17E-01 4.10E-01 2.06E-01 9.15E-02 3.59E-02 1.25E-02 3.87E-03 1.07E-03 2.62E-04 5.74E-05 1.12E-05 1.96E-06 3.05E-07 4.24E-08 5.28E-09 5.87E-10 5.84E-11 5.19E-12 4.13E-13 2.94E-14 1.88E-15 1.07E-16 5.46E-18 2.49E-19 1.02E-20
   2.00  0.483  1.68E+01 1.12E+01 7.48E+01 1.13E+00 1.93E+00 2.21E+00 2.03E+00 1.57E+00 1.05E+00 6.13E-01 3.15E-01 1.43E-01 5.79E-02 2.08E-02 6.66E-03 1.91E-03 4.87E-04 1.11E-04 2.28E-05 4.17E-06 6.84E-07 1.01E-07 1.33E-08 1.57E-09 1.66E-10 1.58E-11 1.35E-12 1.03E-13 7.09E-15 4.37E-16 2.42E-17 1.20E-18 5.37E-20
   2.25  0.512  2.47E+01 1.58E+01 1.07E+02 1.55E+00 2.66E+00 3.08E+00 2.86E+00 2.24E+00 1.52E+00 9.02E-01 4.74E-01 2.21E-01 9.15E-02 3.38E-02 1.12E-02 3.32E-03 8.80E-04 2.10E-04 4.48E-05 8.58E-06 1.48E-06 2.29E-07 3.19E-08 3.99E-09 4.49E-10 4.55E-11 4.15E-12 3.40E-13 2.51E-14 1.67E-15 9.97E-17 5.37E-18 2.60E-19
   2.50  0.539  3.57E+01 2.20E+01 1.52E+02 2.11E+00 3.63E+00 4.23E+00 3.96E+00 3.14E+00 2.16E+00 1.31E+00 7.00E-01 3.33E-01 1.42E-01 5.40E-02 1.84E-02 5.64E-03 1.55E-03 3.84E-04 8.54E-05 1.71E-05 3.09E-06 5.03E-07 7.37E-08 9.74E-09 1.16E-09 1.25E-10 1.21E-11 1.06E-12 8.37E-14 5.97E-15 3.84E-16 2.23E-17 1.17E-18
   2.75  0.566  5.08E+01 3.03E+01 2.12E+02 2.84E+00 4.90E+00 5.75E+00 5.43E+00 4.36E+00 3.04E+00 1.87E+00 1.02E+00 4.96E-01 2.16E-01 8.45E-02 2.97E-02 9.38E-03 2.67E-03 6.85E-04 1.59E-04 3.31E-05 6.25E-06 1.07E-06 1.64E-07 2.28E-08 2.87E-09 3.27E-10 3.37E-11 3.14E-12 2.64E-13 2.01E-14 1.39E-15 8.66E-17 4.89E-18
   3.00  0.591  7.15E+01 4.13E+01 2.93E+02 3.79E+00 6.56E+00 7.74E+00 7.37E+00 5.98E+00 4.23E+00 2.64E+00 1.47E+00 7.28E-01 3.25E-01 1.30E-01 4.70E-02 1.53E-02 4.50E-03 1.19E-03 2.87E-04 6.24E-05 1.23E-05 2.19E-06 3.53E-07 5.16E-08 6.85E-09 8.22E-10 8.96E-11 8.84E-12 7.92E-13 6.43E-14 4.74E-15 3.17E-16 1.92E-17
   3.25  0.615  9.95E+01 5.59E+01 4.02E+02 5.01E+00 8.70E+00 1.03E+01 9.90E+00 8.11E+00 5.81E+00 3.68E+00 2.08E+00 1.05E+00 4.80E-01 1.97E-01 7.31E-02 2.45E-02 7.43E-03 2.04E-03 5.08E-04 1.15E-04 2.35E-05 4.37E-06 7.37E-07 1.13E-07 1.57E-08 1.99E-09 2.28E-10 2.39E-11 2.27E-12 1.96E-13 1.53E-14 1.09E-15 7.10E-17
   3.50  0.638  1.37E+02 7.49E+01 5.46E+02 6.56E+00 1.14E+01 1.36E+01 1.32E+01 1.09E+01 7.91E+00 5.09E+00 2.92E+00 1.51E+00 7.01E-01 2.95E-01 1.12E-01 3.86E-02 1.20E-02 3.41E-03 8.79E-04 2.06E-04 4.38E-05 8.48E-06 1.49E-06 2.39E-07 3.49E-08 4.64E-09 5.61E-10 6.18E-11 6.20E-12 5.67E-13 4.73E-14 3.59E-15 2.48E-16
   3.75  0.661  1.87E+02 9.97E+01 7.36E+02 8.54E+00 1.49E+01 1.79E+01 1.74E+01 1.46E+01 1.07E+01 6.96E+00 4.06E+00 2.13E+00 1.01E+00 4.34E-01 1.69E-01 5.98E-02 1.92E-02 5.61E-03 1.49E-03 3.61E-04 7.98E-05 1.60E-05 2.94E-06 4.92E-07 7.51E-08 1.05E-08 1.33E-09 1.54E-10 1.63E-11 1.58E-12 1.39E-13 1.12E-14 8.24E-16
   4.00  0.682  2.53E+02 1.32E+02 9.84E+02 1.10E+01 1.94E+01 2.33E+01 2.29E+01 1.93E+01 1.43E+01 9.44E+00 5.59E+00 2.99E+00 1.44E+00 6.33E-01 2.52E-01 9.13E-02 3.01E-02 9.07E-03 2.49E-03 6.22E-04 1.42E-04 2.97E-05 5.66E-06 9.86E-07 1.57E-07 2.29E-08 3.04E-09 3.71E-10 4.13E-11 4.20E-12 3.92E-13 3.34E-14 2.61E-15
