                    ************************************************************************************************
                    *  Z= 32 A= 70: Positive-Parity Spin-dependent Level Density [MeV-1] for Ge 70 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.162  2.91E-01 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.229  5.83E-01 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.280  8.74E-01 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.324  1.17E+00 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.362  1.46E+00 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.396  1.75E+00 5.83E-01 2.90E+00 7.15E-02 1.66E-01 1.67E-01 1.10E-01 5.12E-02 1.76E-02 4.56E-03 8.95E-04 1.34E-04 1.53E-05 1.35E-06 9.11E-08 4.74E-09 1.91E-10 5.92E-12 1.42E-13 2.63E-15 3.77E-17 4.18E-19 3.59E-21 2.39E-23 1.23E-25 4.90E-28 1.52E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.428  2.24E+00 9.83E-01 4.90E+00 1.21E-01 2.81E-01 2.82E-01 1.85E-01 8.63E-02 2.97E-02 7.70E-03 1.51E-03 2.26E-04 2.58E-05 2.27E-06 1.54E-07 8.00E-09 3.22E-10 9.98E-12 2.39E-13 4.43E-15 6.36E-17 7.05E-19 6.06E-21 4.03E-23 2.07E-25 8.27E-28 2.56E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.458  3.12E+00 1.75E+00 8.73E+00 2.15E-01 5.00E-01 5.03E-01 3.29E-01 1.54E-01 5.30E-02 1.37E-02 2.69E-03 4.02E-04 4.60E-05 4.05E-06 2.74E-07 1.43E-08 5.73E-10 1.78E-11 4.26E-13 7.90E-15 1.13E-16 1.26E-18 1.08E-20 7.17E-23 3.69E-25 1.47E-27 4.56E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
