                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.154  1.82E-01 3.64E-01 3.05E+00 1.62E-02 4.44E-02 6.18E-02 6.61E-02 5.93E-02 4.62E-02 3.19E-02 1.96E-02 1.08E-02 5.38E-03 2.42E-03 9.87E-04 3.65E-04 1.22E-04 3.73E-05 1.04E-05 2.62E-06 6.02E-07 1.26E-07 2.41E-08 4.20E-09 6.66E-10 9.65E-11 1.27E-11 1.54E-12 1.69E-13 1.70E-14 1.55E-15 1.30E-16 9.91E-18
   0.50  0.218  3.64E-01 3.64E-01 3.05E+00 1.62E-02 4.44E-02 6.18E-02 6.61E-02 5.93E-02 4.62E-02 3.19E-02 1.96E-02 1.08E-02 5.38E-03 2.42E-03 9.87E-04 3.65E-04 1.22E-04 3.73E-05 1.04E-05 2.62E-06 6.02E-07 1.26E-07 2.41E-08 4.20E-09 6.66E-10 9.65E-11 1.27E-11 1.54E-12 1.69E-13 1.70E-14 1.55E-15 1.30E-16 9.91E-18
   0.75  0.268  5.46E-01 3.64E-01 3.05E+00 1.62E-02 4.44E-02 6.18E-02 6.61E-02 5.93E-02 4.62E-02 3.19E-02 1.96E-02 1.08E-02 5.38E-03 2.42E-03 9.87E-04 3.65E-04 1.22E-04 3.73E-05 1.04E-05 2.62E-06 6.02E-07 1.26E-07 2.41E-08 4.20E-09 6.66E-10 9.65E-11 1.27E-11 1.54E-12 1.69E-13 1.70E-14 1.55E-15 1.30E-16 9.91E-18
   1.00  0.309  7.29E-01 3.64E-01 3.05E+00 1.62E-02 4.44E-02 6.18E-02 6.61E-02 5.93E-02 4.62E-02 3.19E-02 1.96E-02 1.08E-02 5.38E-03 2.42E-03 9.87E-04 3.65E-04 1.22E-04 3.73E-05 1.04E-05 2.62E-06 6.02E-07 1.26E-07 2.41E-08 4.20E-09 6.66E-10 9.65E-11 1.27E-11 1.54E-12 1.69E-13 1.70E-14 1.55E-15 1.30E-16 9.91E-18
   1.25  0.345  9.11E-01 3.64E-01 3.05E+00 1.62E-02 4.44E-02 6.18E-02 6.61E-02 5.93E-02 4.62E-02 3.19E-02 1.96E-02 1.08E-02 5.38E-03 2.42E-03 9.87E-04 3.65E-04 1.22E-04 3.73E-05 1.04E-05 2.62E-06 6.02E-07 1.26E-07 2.41E-08 4.20E-09 6.66E-10 9.65E-11 1.27E-11 1.54E-12 1.69E-13 1.70E-14 1.55E-15 1.30E-16 9.91E-18
   1.50  0.378  1.12E+00 4.24E-01 3.54E+00 1.88E-02 5.17E-02 7.20E-02 7.69E-02 6.90E-02 5.38E-02 3.71E-02 2.28E-02 1.26E-02 6.27E-03 2.82E-03 1.15E-03 4.24E-04 1.42E-04 4.35E-05 1.21E-05 3.05E-06 7.01E-07 1.47E-07 2.81E-08 4.88E-09 7.75E-10 1.12E-10 1.48E-11 1.79E-12 1.97E-13 1.97E-14 1.81E-15 1.51E-16 1.15E-17
   1.75  0.409  1.54E+00 8.35E-01 6.98E+00 3.71E-02 1.02E-01 1.42E-01 1.52E-01 1.36E-01 1.06E-01 7.31E-02 4.49E-02 2.48E-02 1.23E-02 5.55E-03 2.26E-03 8.36E-04 2.81E-04 8.56E-05 2.38E-05 6.00E-06 1.38E-06 2.89E-07 5.53E-08 9.62E-09 1.53E-09 2.21E-10 2.92E-11 3.52E-12 3.87E-13 3.89E-14 3.56E-15 2.98E-16 2.27E-17
   2.00  0.437  2.28E+00 1.48E+00 1.23E+01 6.56E-02 1.80E-01 2.51E-01 2.68E-01 2.40E-01 1.87E-01 1.29E-01 7.94E-02 4.39E-02 2.18E-02 9.82E-03 4.00E-03 1.48E-03 4.96E-04 1.51E-04 4.20E-05 1.06E-05 2.44E-06 5.12E-07 9.77E-08 1.70E-08 2.70E-09 3.91E-10 5.17E-11 6.23E-12 6.85E-13 6.87E-14 6.30E-15 5.26E-16 4.02E-17
