                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 3  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.209  1.50E-01 3.00E-01 1.42E+00 4.10E-02 9.27E-02 8.78E-02 5.26E-02 2.18E-02 6.49E-03 1.40E-03 2.24E-04 2.64E-05 2.32E-06 1.51E-07 7.39E-09 2.70E-10 7.38E-12 1.51E-13 2.33E-15 2.68E-17 2.33E-19 1.51E-21 7.40E-24 2.72E-26 7.52E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.296  3.55E-01 4.09E-01 1.93E+00 5.58E-02 1.26E-01 1.20E-01 7.17E-02 2.97E-02 8.83E-03 1.91E-03 3.05E-04 3.60E-05 3.16E-06 2.06E-07 1.01E-08 3.68E-10 1.01E-11 2.06E-13 3.17E-15 3.66E-17 3.17E-19 2.06E-21 1.01E-23 3.71E-26 1.02E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.362  6.32E-01 5.55E-01 2.61E+00 7.57E-02 1.71E-01 1.62E-01 9.71E-02 4.03E-02 1.20E-02 2.59E-03 4.13E-04 4.88E-05 4.28E-06 2.80E-07 1.37E-08 4.98E-10 1.36E-11 2.79E-13 4.29E-15 4.96E-17 4.29E-19 2.79E-21 1.37E-23 5.03E-26 1.39E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.418  1.01E+00 7.48E-01 3.53E+00 1.02E-01 2.31E-01 2.19E-01 1.31E-01 5.44E-02 1.62E-02 3.50E-03 5.58E-04 6.58E-05 5.77E-06 3.77E-07 1.84E-08 6.73E-10 1.84E-11 3.77E-13 5.80E-15 6.69E-17 5.79E-19 3.77E-21 1.84E-23 6.78E-26 1.87E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.467  1.51E+00 1.01E+00 4.74E+00 1.37E-01 3.10E-01 2.94E-01 1.76E-01 7.31E-02 2.17E-02 4.71E-03 7.50E-04 8.85E-05 7.76E-06 5.07E-07 2.48E-08 9.04E-10 2.47E-11 5.07E-13 7.79E-15 8.99E-17 7.79E-19 5.07E-21 2.48E-23 9.12E-26 2.52E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.512  2.18E+00 1.35E+00 6.35E+00 1.84E-01 4.16E-01 3.94E-01 2.36E-01 9.79E-02 2.91E-02 6.30E-03 1.00E-03 1.19E-04 1.04E-05 6.80E-07 3.32E-08 1.21E-09 3.31E-11 6.79E-13 1.04E-14 1.20E-16 1.04E-18 6.79E-21 3.32E-23 1.22E-25 3.38E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.553  3.08E+00 1.80E+00 8.49E+00 2.46E-01 5.56E-01 5.26E-01 3.15E-01 1.31E-01 3.89E-02 8.42E-03 1.34E-03 1.58E-04 1.39E-05 9.08E-07 4.43E-08 1.62E-09 4.43E-11 9.07E-13 1.39E-14 1.61E-16 1.39E-18 9.07E-21 4.44E-23 1.63E-25 4.51E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.591  4.28E+00 2.40E+00 1.13E+01 3.28E-01 7.41E-01 7.01E-01 4.20E-01 1.74E-01 5.18E-02 1.12E-02 1.79E-03 2.11E-04 1.85E-05 1.21E-06 5.91E-08 2.16E-09 5.90E-11 1.21E-12 1.86E-14 2.14E-16 1.86E-18 1.21E-20 5.92E-23 2.18E-25 6.01E-28 1.25E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
