                    ************************************************************************************************
                    *  Z= 24 A= 50: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 50 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.207  1.54E-01 3.08E-01 2.01E+00 2.24E-02 5.79E-02 7.18E-02 6.45E-02 4.60E-02 2.69E-02 1.31E-02 5.37E-03 1.87E-03 5.53E-04 1.40E-04 3.02E-05 5.58E-06 8.84E-07 1.20E-07 1.40E-08 1.41E-09 1.21E-10 9.01E-12 5.75E-13 3.15E-14 1.49E-15 6.06E-17 2.12E-18 6.40E-20 1.66E-21 3.72E-23 7.18E-25 1.19E-26 1.71E-28
   0.50  0.293  3.74E-01 4.40E-01 2.87E+00 3.19E-02 8.26E-02 1.02E-01 9.21E-02 6.56E-02 3.83E-02 1.87E-02 7.67E-03 2.67E-03 7.90E-04 2.00E-04 4.31E-05 7.97E-06 1.26E-06 1.72E-07 2.00E-08 2.01E-09 1.73E-10 1.29E-11 8.20E-13 4.50E-14 2.13E-15 8.65E-17 3.03E-18 9.14E-20 2.38E-21 5.32E-23 1.02E-24 1.70E-26 2.44E-28
   0.75  0.359  6.77E-01 6.04E-01 3.94E+00 4.38E-02 1.13E-01 1.41E-01 1.26E-01 9.00E-02 5.26E-02 2.56E-02 1.05E-02 3.66E-03 1.08E-03 2.74E-04 5.91E-05 1.09E-05 1.73E-06 2.36E-07 2.75E-08 2.76E-09 2.38E-10 1.76E-11 1.13E-12 6.18E-14 2.92E-15 1.19E-16 4.16E-18 1.25E-19 3.26E-21 7.29E-23 1.41E-24 2.34E-26 3.34E-28
   1.00  0.415  1.08E+00 8.12E-01 5.30E+00 5.89E-02 1.52E-01 1.89E-01 1.70E-01 1.21E-01 7.07E-02 3.45E-02 1.42E-02 4.92E-03 1.46E-03 3.68E-04 7.95E-05 1.47E-05 2.33E-06 3.17E-07 3.70E-08 3.71E-09 3.20E-10 2.37E-11 1.51E-12 8.31E-14 3.92E-15 1.60E-16 5.59E-18 1.69E-19 4.38E-21 9.80E-23 1.89E-24 3.14E-26 4.50E-28
   1.25  0.464  1.62E+00 1.08E+00 7.05E+00 7.83E-02 2.03E-01 2.51E-01 2.26E-01 1.61E-01 9.41E-02 4.59E-02 1.88E-02 6.55E-03 1.94E-03 4.90E-04 1.06E-04 1.96E-05 3.10E-06 4.21E-07 4.92E-08 4.94E-09 4.26E-10 3.16E-11 2.01E-12 1.11E-13 5.22E-15 2.12E-16 7.44E-18 2.24E-19 5.83E-21 1.30E-22 2.52E-24 4.18E-26 5.98E-28
   1.50  0.508  2.34E+00 1.43E+00 9.32E+00 1.03E-01 2.68E-01 3.32E-01 2.99E-01 2.13E-01 1.24E-01 6.06E-02 2.49E-02 8.65E-03 2.56E-03 6.47E-04 1.40E-04 2.58E-05 4.09E-06 5.57E-07 6.50E-08 6.52E-09 5.62E-10 4.17E-11 2.66E-12 1.46E-13 6.90E-15 2.81E-16 9.83E-18 2.96E-19 7.70E-21 1.72E-22 3.32E-24 5.52E-26 7.90E-28
   1.75  0.549  3.27E+00 1.87E+00 1.22E+01 1.36E-01 3.52E-01 4.36E-01 3.92E-01 2.79E-01 1.63E-01 7.96E-02 3.27E-02 1.14E-02 3.36E-03 8.50E-04 1.83E-04 3.39E-05 5.38E-06 7.31E-07 8.53E-08 8.56E-09 7.38E-10 5.48E-11 3.49E-12 1.92E-13 9.06E-15 3.68E-16 1.29E-17 3.89E-19 1.01E-20 2.26E-22 4.36E-24 7.25E-26 1.04E-27
   2.00  0.587  4.50E+00 2.45E+00 1.60E+01 1.77E-01 4.59E-01 5.69E-01 5.12E-01 3.65E-01 2.13E-01 1.04E-01 4.26E-02 1.48E-02 4.39E-03 1.11E-03 2.39E-04 4.43E-05 7.02E-06 9.54E-07 1.11E-07 1.12E-08 9.64E-10 7.15E-11 4.56E-12 2.50E-13 1.18E-14 4.81E-16 1.68E-17 5.08E-19 1.32E-20 2.95E-22 5.69E-24 9.46E-26 1.35E-27
