                    ************************************************************************************************
                    *  Z= 25 A= 51: Positive-Parity Spin-dependent Level Density [MeV-1] for Mn 51 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.213  3.37E-01 6.74E-01 3.47E+00 1.04E-01 1.61E-01 1.59E-01 1.18E-01 6.97E-02 3.34E-02 1.32E-02 4.29E-03 1.17E-03 2.65E-04 5.05E-05 8.07E-06 1.08E-06 1.22E-07 1.16E-08 9.31E-10 6.28E-11 3.57E-12 1.72E-13 6.95E-15 2.37E-16 6.85E-18 1.67E-19 3.44E-21 5.98E-23 8.78E-25 1.09E-26 1.14E-28 1.01E-30 1.00E-30
   0.50  0.301  7.74E-01 8.73E-01 4.49E+00 1.34E-01 2.09E-01 2.06E-01 1.53E-01 9.04E-02 4.33E-02 1.70E-02 5.56E-03 1.51E-03 3.44E-04 6.55E-05 1.05E-05 1.40E-06 1.58E-07 1.51E-08 1.21E-09 8.14E-11 4.63E-12 2.22E-13 9.00E-15 3.08E-16 8.88E-18 2.16E-19 4.46E-21 7.75E-23 1.14E-24 1.41E-26 1.48E-28 1.31E-30 1.00E-30
   0.75  0.369  1.34E+00 1.13E+00 5.80E+00 1.73E-01 2.69E-01 2.66E-01 1.98E-01 1.17E-01 5.58E-02 2.20E-02 7.17E-03 1.95E-03 4.43E-04 8.44E-05 1.35E-05 1.81E-06 2.04E-07 1.94E-08 1.55E-09 1.05E-10 5.97E-12 2.87E-13 1.16E-14 3.97E-16 1.15E-17 2.79E-19 5.74E-21 9.99E-23 1.47E-24 1.82E-26 1.91E-28 1.69E-30 1.00E-30
   1.00  0.426  2.06E+00 1.45E+00 7.44E+00 2.22E-01 3.46E-01 3.42E-01 2.54E-01 1.50E-01 7.16E-02 2.82E-02 9.21E-03 2.50E-03 5.69E-04 1.08E-04 1.73E-05 2.32E-06 2.62E-07 2.49E-08 2.00E-09 1.35E-10 7.67E-12 3.68E-13 1.49E-14 5.09E-16 1.47E-17 3.58E-19 7.37E-21 1.28E-22 1.88E-24 2.34E-26 2.45E-28 2.17E-30 1.00E-30
   1.25  0.476  2.98E+00 1.85E+00 9.52E+00 2.84E-01 4.42E-01 4.37E-01 3.25E-01 1.91E-01 9.16E-02 3.61E-02 1.18E-02 3.20E-03 7.28E-04 1.39E-04 2.21E-05 2.97E-06 3.36E-07 3.19E-08 2.55E-09 1.72E-10 9.80E-12 4.71E-13 1.91E-14 6.52E-16 1.88E-17 4.58E-19 9.43E-21 1.64E-22 2.41E-24 2.99E-26 3.13E-28 2.78E-30 1.00E-30
   1.50  0.521  4.16E+00 2.36E+00 1.21E+01 3.62E-01 5.64E-01 5.57E-01 4.14E-01 2.44E-01 1.17E-01 4.60E-02 1.50E-02 4.08E-03 9.28E-04 1.77E-04 2.82E-05 3.79E-06 4.27E-07 4.06E-08 3.25E-09 2.20E-10 1.25E-11 6.00E-13 2.43E-14 8.30E-16 2.40E-17 5.84E-19 1.20E-20 2.09E-22 3.07E-24 3.81E-26 3.99E-28 3.54E-30 1.00E-30
   1.75  0.563  5.66E+00 2.99E+00 1.54E+01 4.59E-01 7.15E-01 7.07E-01 5.25E-01 3.09E-01 1.48E-01 5.84E-02 1.91E-02 5.18E-03 1.18E-03 2.24E-04 3.58E-05 4.81E-06 5.43E-07 5.16E-08 4.13E-09 2.79E-10 1.59E-11 7.61E-13 3.08E-14 1.05E-15 3.04E-17 7.41E-19 1.53E-20 2.65E-22 3.89E-24 4.83E-26 5.07E-28 4.49E-30 1.00E-30
   2.00  0.602  7.55E+00 3.78E+00 1.95E+01 5.81E-01 9.04E-01 8.93E-01 6.64E-01 3.91E-01 1.87E-01 7.38E-02 2.41E-02 6.55E-03 1.49E-03 2.83E-04 4.53E-05 6.07E-06 6.86E-07 6.52E-08 5.22E-09 3.52E-10 2.00E-11 9.62E-13 3.90E-14 1.33E-15 3.84E-17 9.37E-19 1.93E-20 3.35E-22 4.92E-24 6.11E-26 6.40E-28 5.68E-30 1.00E-30
   2.25  0.638  9.91E+00 4.72E+00 2.45E+01 7.13E-01 1.11E+00 1.11E+00 8.33E-01 4.98E-01 2.42E-01 9.73E-02 3.25E-02 9.07E-03 2.12E-03 4.17E-04 6.89E-05 9.60E-06 1.13E-06 1.12E-07 9.41E-09 6.67E-10 4.00E-11 2.03E-12 8.72E-14 3.17E-15 9.77E-17 2.55E-18 5.63E-20 1.05E-21 1.67E-23 2.24E-25 2.56E-27 2.47E-29 1.00E-30
   2.50  0.673  1.28E+01 5.84E+00 3.09E+01 8.61E-01 1.36E+00 1.36E+00 1.04E+00 6.34E-01 3.16E-01 1.31E-01 4.50E-02 1.30E-02 3.18E-03 6.53E-04 1.14E-04 1.67E-05 2.09E-06 2.21E-07 1.98E-08 1.51E-09 9.76E-11 5.37E-12 2.51E-13 9.98E-15 3.38E-16 9.71E-18 2.38E-19 4.95E-21 8.77E-23 1.32E-24 1.70E-26 1.86E-28 1.73E-30
   2.75  0.706  1.64E+01 7.21E+00 3.87E+01 1.04E+00 1.64E+00 1.67E+00 1.29E+00 8.02E-01 4.09E-01 1.74E-01 6.18E-02 1.85E-02 4.70E-03 1.01E-03 1.84E-04 2.85E-05 3.76E-06 4.22E-07 4.04E-08 3.29E-09 2.29E-10 1.36E-11 6.89E-13 2.98E-14 1.10E-15 3.48E-17 9.38E-19 2.16E-20 4.26E-22 7.16E-24 1.03E-25 1.27E-27 1.33E-29
   3.00  0.737  2.09E+01 8.87E+00 4.83E+01 1.25E+00 1.99E+00 2.04E+00 1.60E+00 1.01E+00 5.26E-01 2.29E-01 8.40E-02 2.60E-02 6.85E-03 1.53E-03 2.92E-04 4.76E-05 6.62E-06 7.86E-07 8.00E-08 6.96E-09 5.19E-10 3.31E-11 1.81E-12 8.49E-14 3.41E-15 1.18E-16 3.48E-18 8.83E-20 1.92E-21 3.59E-23 5.75E-25 7.90E-27 9.32E-29
   3.25  0.767  2.63E+01 1.09E+01 6.02E+01 1.49E+00 2.39E+00 2.48E+00 1.97E+00 1.27E+00 6.74E-01 3.00E-01 1.13E-01 3.62E-02 9.88E-03 2.30E-03 4.58E-04 7.80E-05 1.14E-05 1.43E-06 1.54E-07 1.43E-08 1.14E-09 7.77E-11 4.57E-12 2.31E-13 1.01E-14 3.78E-16 1.22E-17 3.39E-19 8.10E-21 1.67E-22 2.97E-24 4.53E-26 5.97E-28
   3.50  0.796  3.30E+01 1.33E+01 7.46E+01 1.79E+00 2.88E+00 3.01E+00 2.42E+00 1.58E+00 8.57E-01 3.91E-01 1.51E-01 4.99E-02 1.41E-02 3.40E-03 7.05E-04 1.26E-04 1.93E-05 2.55E-06 2.90E-07 2.85E-08 2.41E-09 1.76E-10 1.11E-11 6.04E-13 2.84E-14 1.15E-15 4.04E-17 1.23E-18 3.21E-20 7.27E-22 1.42E-23 2.41E-25 3.52E-27
   3.75  0.824  4.11E+01 1.62E+01 9.23E+01 2.13E+00 3.45E+00 3.64E+00 2.96E+00 1.96E+00 1.09E+00 5.07E-01 2.01E-01 6.82E-02 1.99E-02 4.97E-03 1.07E-03 1.99E-04 3.20E-05 4.44E-06 5.33E-07 5.53E-08 4.96E-09 3.86E-10 2.60E-11 1.52E-12 7.67E-14 3.36E-15 1.28E-16 4.20E-18 1.20E-19 2.97E-21 6.39E-23 1.19E-24 1.92E-26
   4.00  0.851  5.09E+01 1.98E+01 1.14E+02 2.54E+00 4.13E+00 4.39E+00 3.62E+00 2.43E+00 1.37E+00 6.52E-01 2.65E-01 9.25E-02 2.78E-02 7.19E-03 1.61E-03 3.11E-04 5.22E-05 7.59E-06 9.57E-07 1.05E-07 9.96E-09 8.22E-10 5.90E-11 3.67E-12 1.99E-13 9.38E-15 3.85E-16 1.37E-17 4.25E-19 1.15E-20 2.69E-22 5.50E-24 9.77E-26
