                    ************************************************************************************************
                    *  Z= 28 A= 60: Positive-Parity Spin-dependent Level Density [MeV-1] for Ni 60 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.209  1.52E-01 3.04E-01 1.43E+00 4.15E-02 9.39E-02 8.89E-02 5.33E-02 2.21E-02 6.57E-03 1.42E-03 2.27E-04 2.68E-05 2.35E-06 1.53E-07 7.49E-09 2.73E-10 7.47E-12 1.53E-13 2.36E-15 2.72E-17 2.35E-19 1.53E-21 7.50E-24 2.76E-26 7.62E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.295  3.42E-01 3.81E-01 1.79E+00 5.19E-02 1.17E-01 1.11E-01 6.66E-02 2.76E-02 8.22E-03 1.78E-03 2.84E-04 3.35E-05 2.94E-06 1.92E-07 9.37E-09 3.42E-10 9.35E-12 1.92E-13 2.95E-15 3.40E-17 2.95E-19 1.92E-21 9.38E-24 3.45E-26 9.53E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.361  6.11E-01 5.38E-01 2.54E+00 7.35E-02 1.66E-01 1.57E-01 9.42E-02 3.91E-02 1.16E-02 2.52E-03 4.01E-04 4.73E-05 4.15E-06 2.71E-07 1.32E-08 4.84E-10 1.32E-11 2.71E-13 4.17E-15 4.81E-17 4.17E-19 2.71E-21 1.33E-23 4.88E-26 1.35E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.417  9.78E-01 7.34E-01 3.46E+00 1.00E-01 2.26E-01 2.14E-01 1.28E-01 5.33E-02 1.58E-02 3.43E-03 5.47E-04 6.45E-05 5.66E-06 3.70E-07 1.81E-08 6.59E-10 1.80E-11 3.70E-13 5.68E-15 6.55E-17 5.68E-19 3.70E-21 1.81E-23 6.65E-26 1.84E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.466  1.47E+00 9.79E-01 4.61E+00 1.34E-01 3.02E-01 2.86E-01 1.71E-01 7.11E-02 2.11E-02 4.58E-03 7.30E-04 8.61E-05 7.55E-06 4.94E-07 2.41E-08 8.80E-10 2.41E-11 4.93E-13 7.58E-15 8.75E-17 7.58E-19 4.93E-21 2.41E-23 8.87E-26 2.45E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.511  2.11E+00 1.29E+00 6.09E+00 1.76E-01 3.99E-01 3.78E-01 2.26E-01 9.39E-02 2.79E-02 6.04E-03 9.63E-04 1.14E-04 9.97E-06 6.52E-07 3.18E-08 1.16E-09 3.18E-11 6.51E-13 1.00E-14 1.15E-16 1.00E-18 6.51E-21 3.18E-23 1.17E-25 3.24E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.552  2.96E+00 1.70E+00 7.99E+00 2.31E-01 5.23E-01 4.95E-01 2.97E-01 1.23E-01 3.66E-02 7.93E-03 1.26E-03 1.49E-04 1.31E-05 8.55E-07 4.17E-08 1.52E-09 4.17E-11 8.54E-13 1.31E-14 1.52E-16 1.31E-18 8.54E-21 4.18E-23 1.54E-25 4.25E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.590  4.07E+00 2.21E+00 1.04E+01 3.02E-01 6.83E-01 6.47E-01 3.88E-01 1.61E-01 4.78E-02 1.04E-02 1.65E-03 1.95E-04 1.71E-05 1.12E-06 5.45E-08 1.99E-09 5.44E-11 1.11E-12 1.71E-14 1.98E-16 1.71E-18 1.12E-20 5.46E-23 2.01E-25 5.55E-28 1.15E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
