                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  4.86E-02 9.72E-02 8.13E-01 4.32E-03 1.19E-02 1.65E-02 1.76E-02 1.58E-02 1.23E-02 8.51E-03 5.23E-03 2.89E-03 1.44E-03 6.46E-04 2.63E-04 9.73E-05 3.27E-05 9.97E-06 2.77E-06 6.99E-07 1.61E-07 3.37E-08 6.43E-09 1.12E-09 1.78E-10 2.58E-11 3.40E-12 4.10E-13 4.51E-14 4.53E-15 4.15E-16 3.47E-17 2.65E-18
   0.50  0.204  1.09E-01 1.20E-01 1.00E+00 5.33E-03 1.46E-02 2.03E-02 2.17E-02 1.95E-02 1.52E-02 1.05E-02 6.45E-03 3.56E-03 1.77E-03 7.97E-04 3.25E-04 1.20E-04 4.02E-05 1.23E-05 3.41E-06 8.61E-07 1.98E-07 4.15E-08 7.93E-09 1.38E-09 2.19E-10 3.17E-11 4.19E-12 5.05E-13 5.56E-14 5.58E-15 5.11E-16 4.27E-17 3.26E-18
   0.75  0.250  1.83E-01 1.49E-01 1.24E+00 6.62E-03 1.81E-02 2.53E-02 2.70E-02 2.42E-02 1.89E-02 1.30E-02 8.01E-03 4.42E-03 2.20E-03 9.90E-04 4.03E-04 1.49E-04 5.00E-05 1.53E-05 4.23E-06 1.07E-06 2.46E-07 5.16E-08 9.85E-09 1.72E-09 2.72E-10 3.94E-11 5.21E-12 6.28E-13 6.90E-14 6.93E-15 6.35E-16 5.31E-17 4.05E-18
   1.00  0.288  2.76E-01 1.86E-01 1.56E+00 8.28E-03 2.27E-02 3.16E-02 3.38E-02 3.03E-02 2.36E-02 1.63E-02 1.00E-02 5.53E-03 2.75E-03 1.24E-03 5.05E-04 1.86E-04 6.26E-05 1.91E-05 5.30E-06 1.34E-06 3.08E-07 6.45E-08 1.23E-08 2.15E-09 3.41E-10 4.93E-11 6.52E-12 7.85E-13 8.64E-14 8.67E-15 7.94E-16 6.64E-17 5.07E-18
   1.25  0.322  3.93E-01 2.34E-01 1.96E+00 1.04E-02 2.86E-02 3.98E-02 4.25E-02 3.82E-02 2.97E-02 2.05E-02 1.26E-02 6.96E-03 3.46E-03 1.56E-03 6.35E-04 2.35E-04 7.87E-05 2.40E-05 6.67E-06 1.68E-06 3.87E-07 8.12E-08 1.55E-08 2.70E-09 4.29E-10 6.21E-11 8.20E-12 9.88E-13 1.09E-13 1.09E-14 9.99E-16 8.35E-17 6.38E-18
   1.50  0.353  5.41E-01 2.96E-01 2.48E+00 1.32E-02 3.61E-02 5.03E-02 5.37E-02 4.82E-02 3.76E-02 2.59E-02 1.59E-02 8.80E-03 4.38E-03 1.97E-03 8.02E-04 2.96E-04 9.95E-05 3.04E-05 8.43E-06 2.13E-06 4.90E-07 1.03E-07 1.96E-08 3.41E-09 5.42E-10 7.85E-11 1.04E-11 1.25E-12 1.37E-13 1.38E-14 1.26E-15 1.06E-16 8.06E-18
   1.75  0.381  7.29E-01 3.76E-01 3.14E+00 1.67E-02 4.58E-02 6.38E-02 6.82E-02 6.12E-02 4.77E-02 3.29E-02 2.02E-02 1.12E-02 5.56E-03 2.50E-03 1.02E-03 3.76E-04 1.26E-04 3.85E-05 1.07E-05 2.70E-06 6.21E-07 1.30E-07 2.49E-08 4.33E-09 6.88E-10 9.96E-11 1.32E-11 1.58E-12 1.74E-13 1.75E-14 1.60E-15 1.34E-16 1.02E-17
   2.00  0.408  9.69E-01 4.79E-01 4.00E+00 2.13E-02 5.83E-02 8.12E-02 8.68E-02 7.79E-02 6.08E-02 4.19E-02 2.57E-02 1.42E-02 7.07E-03 3.18E-03 1.30E-03 4.79E-04 1.61E-04 4.91E-05 1.36E-05 3.44E-06 7.91E-07 1.66E-07 3.17E-08 5.51E-09 8.75E-10 1.27E-10 1.67E-11 2.02E-12 2.22E-13 2.23E-14 2.04E-15 1.71E-16 1.30E-17
