                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  3.64E-01 7.28E-01 6.08E+00 3.23E-02 8.87E-02 1.23E-01 1.32E-01 1.18E-01 9.24E-02 6.36E-02 3.91E-02 2.16E-02 1.08E-02 4.84E-03 1.97E-03 7.28E-04 2.44E-04 7.46E-05 2.07E-05 5.23E-06 1.20E-06 2.52E-07 4.81E-08 8.38E-09 1.33E-09 1.93E-10 2.55E-11 3.07E-12 3.37E-13 3.39E-14 3.10E-15 2.59E-16 1.98E-17
   0.50  0.204  9.07E-01 1.09E+00 9.08E+00 4.83E-02 1.32E-01 1.84E-01 1.97E-01 1.77E-01 1.38E-01 9.50E-02 5.84E-02 3.23E-02 1.61E-02 7.22E-03 2.94E-03 1.09E-03 3.65E-04 1.11E-04 3.09E-05 7.80E-06 1.80E-06 3.76E-07 7.19E-08 1.25E-08 1.99E-09 2.88E-10 3.80E-11 4.58E-12 5.04E-13 5.06E-14 4.63E-15 3.87E-16 2.96E-17
   0.75  0.250  1.71E+00 1.61E+00 1.35E+01 7.16E-02 1.96E-01 2.73E-01 2.92E-01 2.62E-01 2.04E-01 1.41E-01 8.66E-02 4.78E-02 2.38E-02 1.07E-02 4.36E-03 1.61E-03 5.41E-04 1.65E-04 4.58E-05 1.16E-05 2.66E-06 5.58E-07 1.07E-07 1.86E-08 2.95E-09 4.27E-10 5.63E-11 6.79E-12 7.47E-13 7.50E-14 6.87E-15 5.74E-16 4.38E-17
   1.00  0.288  2.90E+00 2.38E+00 1.99E+01 1.06E-01 2.89E-01 4.03E-01 4.31E-01 3.87E-01 3.02E-01 2.08E-01 1.28E-01 7.05E-02 3.51E-02 1.58E-02 6.43E-03 2.38E-03 7.98E-04 2.43E-04 6.76E-05 1.71E-05 3.93E-06 8.23E-07 1.57E-07 2.74E-08 4.34E-09 6.29E-10 8.31E-11 1.00E-11 1.10E-12 1.11E-13 1.01E-14 8.47E-16 6.46E-17
   1.25  0.322  4.64E+00 3.49E+00 2.92E+01 1.55E-01 4.25E-01 5.92E-01 6.33E-01 5.68E-01 4.43E-01 3.05E-01 1.88E-01 1.04E-01 5.15E-02 2.32E-02 9.44E-03 3.49E-03 1.17E-03 3.57E-04 9.92E-05 2.51E-05 5.76E-06 1.21E-06 2.31E-07 4.02E-08 6.38E-09 9.24E-10 1.22E-10 1.47E-11 1.62E-12 1.62E-13 1.49E-14 1.24E-15 9.49E-17
   1.50  0.353  7.19E+00 5.10E+00 4.26E+01 2.27E-01 6.22E-01 8.66E-01 9.25E-01 8.30E-01 6.47E-01 4.46E-01 2.74E-01 1.51E-01 7.54E-02 3.39E-02 1.38E-02 5.11E-03 1.71E-03 5.23E-04 1.45E-04 3.66E-05 8.43E-06 1.77E-06 3.37E-07 5.88E-08 9.33E-09 1.35E-09 1.78E-10 2.15E-11 2.37E-12 2.37E-13 2.17E-14 1.82E-15 1.39E-16
   1.75  0.381  1.09E+01 7.44E+00 6.22E+01 3.31E-01 9.06E-01 1.26E+00 1.35E+00 1.21E+00 9.44E-01 6.51E-01 4.00E-01 2.21E-01 1.10E-01 4.94E-02 2.01E-02 7.44E-03 2.50E-03 7.62E-04 2.12E-04 5.34E-05 1.23E-05 2.58E-06 4.92E-07 8.57E-08 1.36E-08 1.97E-09 2.60E-10 3.14E-11 3.45E-12 3.46E-13 3.17E-14 2.65E-15 2.02E-16
   2.00  0.408  1.63E+01 1.08E+01 9.04E+01 4.81E-01 1.32E+00 1.84E+00 1.96E+00 1.76E+00 1.37E+00 9.46E-01 5.82E-01 3.21E-01 1.60E-01 7.19E-02 2.93E-02 1.08E-02 3.63E-03 1.11E-03 3.08E-04 7.77E-05 1.79E-05 3.75E-06 7.16E-07 1.25E-07 1.98E-08 2.86E-09 3.78E-10 4.56E-11 5.01E-12 5.03E-13 4.61E-14 3.85E-15 2.94E-16
