                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  4.96E-01 9.92E-01 8.29E+00 4.41E-02 1.21E-01 1.68E-01 1.80E-01 1.61E-01 1.26E-01 8.68E-02 5.33E-02 2.95E-02 1.47E-02 6.59E-03 2.69E-03 9.93E-04 3.33E-04 1.02E-04 2.82E-05 7.13E-06 1.64E-06 3.44E-07 6.56E-08 1.14E-08 1.81E-09 2.63E-10 3.47E-11 4.18E-12 4.60E-13 4.62E-14 4.23E-15 3.53E-16 2.70E-17
   0.50  0.204  1.25E+00 1.50E+00 1.26E+01 6.68E-02 1.83E-01 2.55E-01 2.72E-01 2.45E-01 1.91E-01 1.31E-01 8.08E-02 4.46E-02 2.22E-02 9.98E-03 4.07E-03 1.50E-03 5.05E-04 1.54E-04 4.27E-05 1.08E-05 2.48E-06 5.20E-07 9.94E-08 1.73E-08 2.75E-09 3.98E-10 5.25E-11 6.33E-12 6.96E-13 6.99E-14 6.40E-15 5.35E-16 4.09E-17
   0.75  0.250  2.38E+00 2.26E+00 1.89E+01 1.00E-01 2.75E-01 3.83E-01 4.10E-01 3.68E-01 2.87E-01 1.98E-01 1.21E-01 6.71E-02 3.34E-02 1.50E-02 6.12E-03 2.26E-03 7.59E-04 2.31E-04 6.42E-05 1.62E-05 3.73E-06 7.82E-07 1.49E-07 2.60E-08 4.13E-09 5.98E-10 7.90E-11 9.52E-12 1.05E-12 1.05E-13 9.63E-15 8.05E-16 6.15E-17
   1.00  0.288  4.06E+00 3.38E+00 2.82E+01 1.50E-01 4.12E-01 5.73E-01 6.13E-01 5.50E-01 4.29E-01 2.95E-01 1.82E-01 1.00E-01 4.99E-02 2.24E-02 9.15E-03 3.38E-03 1.13E-03 3.46E-04 9.60E-05 2.43E-05 5.58E-06 1.17E-06 2.23E-07 3.89E-08 6.18E-09 8.94E-10 1.18E-10 1.42E-11 1.57E-12 1.57E-13 1.44E-14 1.20E-15 9.19E-17
   1.25  0.322  6.58E+00 5.02E+00 4.20E+01 2.23E-01 6.12E-01 8.53E-01 9.12E-01 8.18E-01 6.38E-01 4.40E-01 2.70E-01 1.49E-01 7.43E-02 3.34E-02 1.36E-02 5.03E-03 1.69E-03 5.15E-04 1.43E-04 3.61E-05 8.31E-06 1.74E-06 3.32E-07 5.79E-08 9.19E-09 1.33E-09 1.76E-10 2.12E-11 2.33E-12 2.34E-13 2.14E-14 1.79E-15 1.37E-16
   1.50  0.353  1.03E+01 7.45E+00 6.22E+01 3.31E-01 9.08E-01 1.26E+00 1.35E+00 1.21E+00 9.45E-01 6.51E-01 4.01E-01 2.21E-01 1.10E-01 4.95E-02 2.02E-02 7.45E-03 2.50E-03 7.63E-04 2.12E-04 5.35E-05 1.23E-05 2.58E-06 4.93E-07 8.58E-08 1.36E-08 1.97E-09 2.60E-10 3.14E-11 3.45E-12 3.47E-13 3.17E-14 2.65E-15 2.03E-16
   1.75  0.381  1.58E+01 1.10E+01 9.19E+01 4.89E-01 1.34E+00 1.87E+00 1.99E+00 1.79E+00 1.40E+00 9.62E-01 5.91E-01 3.27E-01 1.62E-01 7.31E-02 2.98E-02 1.10E-02 3.69E-03 1.13E-03 3.13E-04 7.90E-05 1.82E-05 3.81E-06 7.27E-07 1.27E-07 2.01E-08 2.91E-09 3.85E-10 4.64E-11 5.10E-12 5.12E-13 4.69E-14 3.92E-15 2.99E-16
   2.00  0.408  2.39E+01 1.62E+01 1.35E+02 7.19E-01 1.97E+00 2.75E+00 2.94E+00 2.64E+00 2.05E+00 1.42E+00 8.71E-01 4.81E-01 2.39E-01 1.08E-01 4.38E-02 1.62E-02 5.44E-03 1.66E-03 4.60E-04 1.16E-04 2.68E-05 5.61E-06 1.07E-06 1.86E-07 2.96E-08 4.29E-09 5.66E-10 6.82E-11 7.50E-12 7.53E-13 6.90E-14 5.77E-15 4.40E-16
