                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  1.09E+00 2.18E+00 1.82E+01 9.69E-02 2.66E-01 3.70E-01 3.96E-01 3.55E-01 2.77E-01 1.91E-01 1.17E-01 6.48E-02 3.22E-02 1.45E-02 5.91E-03 2.18E-03 7.32E-04 2.23E-04 6.20E-05 1.57E-05 3.60E-06 7.55E-07 1.44E-07 2.51E-08 3.99E-09 5.78E-10 7.63E-11 9.19E-12 1.01E-12 1.01E-13 9.29E-15 7.77E-16 5.93E-17
   0.50  0.204  2.83E+00 3.49E+00 2.92E+01 1.55E-01 4.25E-01 5.92E-01 6.33E-01 5.68E-01 4.43E-01 3.05E-01 1.88E-01 1.04E-01 5.16E-02 2.32E-02 9.45E-03 3.49E-03 1.17E-03 3.58E-04 9.92E-05 2.51E-05 5.77E-06 1.21E-06 2.31E-07 4.02E-08 6.38E-09 9.24E-10 1.22E-10 1.47E-11 1.62E-12 1.62E-13 1.49E-14 1.24E-15 9.49E-17
   0.75  0.250  5.60E+00 5.52E+00 4.62E+01 2.46E-01 6.73E-01 9.38E-01 1.00E+00 8.99E-01 7.01E-01 4.83E-01 2.97E-01 1.64E-01 8.16E-02 3.67E-02 1.50E-02 5.53E-03 1.86E-03 5.66E-04 1.57E-04 3.97E-05 9.13E-06 1.91E-06 3.66E-07 6.36E-08 1.01E-08 1.46E-09 1.93E-10 2.33E-11 2.56E-12 2.57E-13 2.35E-14 1.97E-15 1.50E-16
   1.00  0.288  9.93E+00 8.67E+00 7.25E+01 3.86E-01 1.06E+00 1.47E+00 1.57E+00 1.41E+00 1.10E+00 7.59E-01 4.67E-01 2.58E-01 1.28E-01 5.77E-02 2.35E-02 8.68E-03 2.91E-03 8.89E-04 2.47E-04 6.23E-05 1.43E-05 3.00E-06 5.74E-07 9.99E-08 1.59E-08 2.30E-09 3.03E-10 3.66E-11 4.02E-12 4.04E-13 3.70E-14 3.09E-15 2.36E-16
   1.25  0.322  1.67E+01 1.35E+01 1.13E+02 6.01E-01 1.65E+00 2.29E+00 2.45E+00 2.20E+00 1.72E+00 1.18E+00 7.27E-01 4.01E-01 2.00E-01 8.99E-02 3.66E-02 1.35E-02 4.54E-03 1.39E-03 3.85E-04 9.71E-05 2.23E-05 4.68E-06 8.94E-07 1.56E-07 2.47E-08 3.58E-09 4.73E-10 5.70E-11 6.27E-12 6.29E-13 5.76E-14 4.82E-15 3.68E-16
   1.50  0.353  2.72E+01 2.09E+01 1.75E+02 9.31E-01 2.55E+00 3.55E+00 3.80E+00 3.41E+00 2.66E+00 1.83E+00 1.13E+00 6.22E-01 3.10E-01 1.39E-01 5.67E-02 2.10E-02 7.04E-03 2.15E-03 5.96E-04 1.50E-04 3.46E-05 7.25E-06 1.39E-06 2.41E-07 3.83E-08 5.55E-09 7.33E-10 8.83E-11 9.71E-12 9.75E-13 8.93E-14 7.46E-15 5.70E-16
   1.75  0.381  4.33E+01 3.23E+01 2.70E+02 1.43E+00 3.93E+00 5.48E+00 5.85E+00 5.25E+00 4.10E+00 2.82E+00 1.74E+00 9.58E-01 4.77E-01 2.15E-01 8.74E-02 3.23E-02 1.08E-02 3.31E-03 9.18E-04 2.32E-04 5.33E-05 1.12E-05 2.14E-06 3.72E-07 5.90E-08 8.55E-09 1.13E-09 1.36E-10 1.50E-11 1.50E-12 1.38E-13 1.15E-14 8.78E-16
   2.00  0.408  6.80E+01 4.95E+01 4.14E+02 2.20E+00 6.03E+00 8.40E+00 8.98E+00 8.06E+00 6.28E+00 4.33E+00 2.66E+00 1.47E+00 7.31E-01 3.29E-01 1.34E-01 4.95E-02 1.66E-02 5.07E-03 1.41E-03 3.56E-04 8.18E-05 1.71E-05 3.27E-06 5.70E-07 9.05E-08 1.31E-08 1.73E-09 2.09E-10 2.29E-11 2.30E-12 2.11E-13 1.76E-14 1.35E-15
