                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  3.31E-01 6.62E-01 5.53E+00 2.94E-02 8.07E-02 1.12E-01 1.20E-01 1.08E-01 8.40E-02 5.79E-02 3.56E-02 1.97E-02 9.78E-03 4.40E-03 1.79E-03 6.63E-04 2.22E-04 6.78E-05 1.88E-05 4.76E-06 1.09E-06 2.29E-07 4.38E-08 7.63E-09 1.21E-09 1.75E-10 2.32E-11 2.79E-12 3.07E-13 3.08E-14 2.82E-15 2.36E-16 1.80E-17
   0.50  0.204  9.63E-01 1.26E+00 1.06E+01 5.62E-02 1.54E-01 2.15E-01 2.29E-01 2.06E-01 1.60E-01 1.11E-01 6.80E-02 3.75E-02 1.87E-02 8.40E-03 3.42E-03 1.27E-03 4.25E-04 1.30E-04 3.60E-05 9.08E-06 2.09E-06 4.38E-07 8.36E-08 1.46E-08 2.31E-09 3.35E-10 4.42E-11 5.33E-12 5.86E-13 5.88E-14 5.39E-15 4.51E-16 3.44E-17
   0.75  0.250  2.08E+00 2.23E+00 1.87E+01 9.93E-02 2.72E-01 3.79E-01 4.05E-01 3.64E-01 2.84E-01 1.95E-01 1.20E-01 6.64E-02 3.30E-02 1.49E-02 6.05E-03 2.24E-03 7.51E-04 2.29E-04 6.36E-05 1.61E-05 3.69E-06 7.74E-07 1.48E-07 2.57E-08 4.09E-09 5.92E-10 7.82E-11 9.42E-12 1.04E-12 1.04E-13 9.52E-15 7.96E-16 6.08E-17
   1.00  0.288  3.98E+00 3.80E+00 3.17E+01 1.69E-01 4.63E-01 6.44E-01 6.89E-01 6.18E-01 4.82E-01 3.32E-01 2.04E-01 1.13E-01 5.61E-02 2.52E-02 1.03E-02 3.80E-03 1.27E-03 3.89E-04 1.08E-04 2.73E-05 6.27E-06 1.31E-06 2.51E-07 4.37E-08 6.94E-09 1.01E-09 1.33E-10 1.60E-11 1.76E-12 1.77E-13 1.62E-14 1.35E-15 1.03E-16
   1.25  0.322  7.12E+00 6.28E+00 5.25E+01 2.79E-01 7.66E-01 1.07E+00 1.14E+00 1.02E+00 7.98E-01 5.50E-01 3.38E-01 1.87E-01 9.29E-02 4.18E-02 1.70E-02 6.29E-03 2.11E-03 6.44E-04 1.79E-04 4.51E-05 1.04E-05 2.18E-06 4.16E-07 7.24E-08 1.15E-08 1.66E-09 2.20E-10 2.65E-11 2.91E-12 2.92E-13 2.68E-14 2.24E-15 1.71E-16
   1.50  0.353  1.22E+01 1.02E+01 8.54E+01 4.54E-01 1.25E+00 1.73E+00 1.85E+00 1.66E+00 1.30E+00 8.94E-01 5.50E-01 3.03E-01 1.51E-01 6.79E-02 2.77E-02 1.02E-02 3.43E-03 1.05E-03 2.91E-04 7.34E-05 1.69E-05 3.54E-06 6.76E-07 1.18E-07 1.87E-08 2.71E-09 3.57E-10 4.31E-11 4.74E-12 4.75E-13 4.36E-14 3.64E-15 2.78E-16
   1.75  0.381  2.04E+01 1.64E+01 1.37E+02 7.28E-01 2.00E+00 2.78E+00 2.97E+00 2.67E+00 2.08E+00 1.43E+00 8.82E-01 4.87E-01 2.42E-01 1.09E-01 4.44E-02 1.64E-02 5.50E-03 1.68E-03 4.66E-04 1.18E-04 2.71E-05 5.68E-06 1.08E-06 1.89E-07 3.00E-08 4.34E-09 5.73E-10 6.91E-11 7.60E-12 7.63E-13 6.99E-14 5.84E-15 4.46E-16
   2.00  0.408  3.34E+01 2.60E+01 2.17E+02 1.16E+00 3.17E+00 4.41E+00 4.72E+00 4.23E+00 3.30E+00 2.27E+00 1.40E+00 7.72E-01 3.84E-01 1.73E-01 7.04E-02 2.60E-02 8.73E-03 2.66E-03 7.39E-04 1.87E-04 4.30E-05 9.01E-06 1.72E-06 3.00E-07 4.76E-08 6.89E-09 9.10E-10 1.10E-10 1.21E-11 1.21E-12 1.11E-13 9.27E-15 7.07E-16
