                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  6.55E-01 1.29E+00 1.69E+01 3.69E-01 8.27E-02 7.94E-01 4.84E-01 5.75E-01 2.18E-01 6.24E-02 1.00E-30 3.12E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.204  1.63E+00 1.48E+00 2.51E+01 6.55E-01 3.67E-01 7.99E-01 5.38E-01 1.10E+00 1.96E-01 1.96E-01 2.80E-02 2.80E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.250  2.94E+00 4.24E+00 3.63E+01 9.27E-01 5.83E-01 6.34E-01 2.98E-01 1.64E+00 7.62E-01 2.29E-01 1.27E-01 2.54E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.288  4.63E+00 7.25E+00 5.06E+01 6.35E-01 6.22E-01 1.12E+00 3.89E-01 1.51E+00 1.08E+00 7.88E-01 1.62E-01 6.95E-02 1.00E-30 2.32E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.322  6.55E+00 8.01E+00 5.48E+01 8.05E-01 5.71E-01 1.05E+00 3.99E-01 1.49E+00 1.03E+00 8.93E-01 2.77E-01 1.70E-01 2.13E-02 2.13E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.353  8.64E+00 1.33E+01 6.40E+01 7.43E-01 3.60E-01 1.23E+00 7.45E-01 1.21E+00 1.05E+00 1.37E+00 3.54E-01 1.77E-01 9.81E-02 1.96E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.381  1.12E+01 1.96E+01 8.53E+01 5.16E-01 1.98E-01 1.62E+00 1.37E+00 1.21E+00 1.01E+00 1.92E+00 7.81E-01 2.72E-01 1.27E-01 3.64E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.408  1.46E+01 2.63E+01 1.09E+02 9.09E-01 3.79E-01 1.40E+00 1.57E+00 1.79E+00 8.93E-01 1.69E+00 1.39E+00 7.59E-01 2.19E-01 1.18E-01 1.00E-30 1.69E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
