                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  6.13E+00 1.29E+00 1.58E+02 3.46E+00 7.74E-01 7.43E+00 4.53E+00 5.38E+00 2.04E+00 5.84E-01 1.00E-30 2.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.204  1.74E+01 1.48E+00 2.90E+02 7.59E+00 4.25E+00 9.26E+00 6.23E+00 1.28E+01 2.27E+00 2.27E+00 3.24E-01 3.24E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.250  3.58E+01 4.24E+00 5.12E+02 1.31E+01 8.22E+00 8.93E+00 4.20E+00 2.31E+01 1.07E+01 3.22E+00 1.79E+00 3.58E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.288  6.44E+01 7.25E+00 8.56E+02 1.07E+01 1.05E+01 1.90E+01 6.58E+00 2.55E+01 1.82E+01 1.33E+01 2.74E+00 1.18E+00 1.00E-30 3.92E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.322  1.03E+02 8.01E+00 1.10E+03 1.62E+01 1.15E+01 2.12E+01 8.02E+00 2.99E+01 2.07E+01 1.79E+01 5.56E+00 3.42E+00 4.27E-01 4.27E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.353  1.52E+02 1.33E+01 1.51E+03 1.75E+01 8.51E+00 2.92E+01 1.76E+01 2.85E+01 2.48E+01 3.24E+01 8.36E+00 4.17E+00 2.32E+00 4.63E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.381  2.24E+02 1.96E+01 2.35E+03 1.42E+01 5.46E+00 4.45E+01 3.78E+01 3.33E+01 2.78E+01 5.30E+01 2.15E+01 7.51E+00 3.50E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.408  3.30E+02 2.63E+01 3.47E+03 2.91E+01 1.21E+01 4.47E+01 5.01E+01 5.71E+01 2.85E+01 5.39E+01 4.44E+01 2.42E+01 7.01E+00 3.77E+00 1.00E-30 5.39E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
