                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.197  8.10E-01 1.62E+00 8.41E+00 2.46E-01 3.84E-01 3.81E-01 2.86E-01 1.70E-01 8.26E-02 3.31E-02 1.10E-02 3.05E-03 7.10E-04 1.39E-04 2.28E-05 3.15E-06 3.68E-07 3.62E-08 3.01E-09 2.12E-10 1.26E-11 6.31E-13 2.68E-14 9.63E-16 2.93E-17 7.54E-19 1.64E-20 3.03E-22 4.74E-24 6.28E-26 7.04E-28 6.68E-30 1.00E-30
   0.50  0.279  1.94E+00 2.27E+00 1.18E+01 3.44E-01 5.37E-01 5.34E-01 4.00E-01 2.39E-01 1.16E-01 4.63E-02 1.54E-02 4.28E-03 9.94E-04 1.94E-04 3.19E-05 4.42E-06 5.15E-07 5.07E-08 4.22E-09 2.96E-10 1.76E-11 8.84E-13 3.75E-14 1.35E-15 4.10E-17 1.06E-18 2.30E-20 4.25E-22 6.64E-24 8.79E-26 9.86E-28 9.36E-30 1.00E-30
   0.75  0.341  3.51E+00 3.14E+00 1.63E+01 4.76E-01 7.44E-01 7.39E-01 5.54E-01 3.30E-01 1.60E-01 6.41E-02 2.13E-02 5.92E-03 1.38E-03 2.69E-04 4.42E-05 6.11E-06 7.13E-07 7.02E-08 5.84E-09 4.10E-10 2.44E-11 1.22E-12 5.19E-14 1.87E-15 5.68E-17 1.46E-18 3.19E-20 5.88E-22 9.19E-24 1.22E-25 1.36E-27 1.30E-29 1.00E-30
   1.00  0.394  5.66E+00 4.29E+00 2.23E+01 6.51E-01 1.02E+00 1.01E+00 7.58E-01 4.51E-01 2.19E-01 8.77E-02 2.91E-02 8.09E-03 1.88E-03 3.68E-04 6.04E-05 8.36E-06 9.75E-07 9.60E-08 7.98E-09 5.61E-10 3.33E-11 1.67E-12 7.11E-14 2.55E-15 7.77E-17 2.00E-18 4.36E-20 8.04E-22 1.26E-23 1.66E-25 1.87E-27 1.77E-29 1.00E-30
   1.25  0.441  8.56E+00 5.81E+00 3.02E+01 8.79E-01 1.37E+00 1.37E+00 1.02E+00 6.11E-01 2.97E-01 1.19E-01 3.96E-02 1.10E-02 2.57E-03 5.03E-04 8.28E-05 1.15E-05 1.35E-06 1.33E-07 1.11E-08 7.82E-10 4.66E-11 2.35E-12 1.00E-13 3.62E-15 1.11E-16 2.86E-18 6.27E-20 1.16E-21 1.83E-23 2.43E-25 2.74E-27 2.62E-29 1.00E-30
   1.50  0.483  1.24E+01 7.68E+00 4.05E+01 1.14E+00 1.79E+00 1.80E+00 1.37E+00 8.29E-01 4.12E-01 1.69E-01 5.82E-02 1.67E-02 4.05E-03 8.28E-04 1.43E-04 2.08E-05 2.57E-06 2.70E-07 2.39E-08 1.80E-09 1.15E-10 6.27E-12 2.89E-13 1.13E-14 3.78E-16 1.07E-17 2.58E-19 5.28E-21 9.19E-23 1.36E-24 1.72E-26 1.84E-28 1.68E-30
   1.75  0.521  1.74E+01 1.01E+01 5.38E+01 1.46E+00 2.30E+00 2.34E+00 1.80E+00 1.11E+00 5.65E-01 2.38E-01 8.41E-02 2.50E-02 6.28E-03 1.34E-03 2.41E-04 3.69E-05 4.80E-06 5.31E-07 5.00E-08 4.02E-09 2.75E-10 1.60E-11 7.97E-13 3.38E-14 1.22E-15 3.78E-17 9.95E-19 2.24E-20 4.30E-22 7.05E-24 9.87E-26 1.18E-27 1.21E-29
   2.00  0.557  2.40E+01 1.31E+01 7.09E+01 1.85E+00 2.94E+00 3.01E+00 2.35E+00 1.48E+00 7.65E-01 3.30E-01 1.20E-01 3.68E-02 9.57E-03 2.11E-03 3.97E-04 6.37E-05 8.71E-06 1.02E-06 1.01E-07 8.64E-09 6.30E-10 3.93E-11 2.10E-12 9.60E-14 3.76E-15 1.26E-16 3.62E-18 8.90E-20 1.88E-21 3.39E-23 5.25E-25 6.97E-27 7.92E-29
   2.25  0.591  3.24E+01 1.68E+01 9.26E+01 2.34E+00 3.73E+00 3.86E+00 3.05E+00 1.94E+00 1.03E+00 4.53E-01 1.69E-01 5.34E-02 1.43E-02 3.29E-03 6.44E-04 1.08E-04 1.54E-05 1.90E-06 2.00E-07 1.80E-08 1.40E-09 9.30E-11 5.31E-12 2.61E-13 1.10E-14 3.99E-16 1.24E-17 3.34E-19 7.69E-21 1.52E-22 2.60E-24 3.80E-26 4.80E-28
   2.50  0.623  4.32E+01 2.16E+01 1.20E+02 2.93E+00 4.70E+00 4.90E+00 3.92E+00 2.54E+00 1.36E+00 6.15E-01 2.35E-01 7.64E-02 2.12E-02 5.03E-03 1.02E-03 1.79E-04 2.68E-05 3.45E-06 3.83E-07 3.65E-08 3.00E-09 2.12E-10 1.30E-11 6.81E-13 3.09E-14 1.21E-15 4.07E-17 1.18E-18 2.97E-20 6.42E-22 1.20E-23 1.93E-25 2.69E-27
   2.75  0.653  5.69E+01 2.74E+01 1.55E+02 3.65E+00 5.88E+00 6.18E+00 4.99E+00 3.28E+00 1.79E+00 8.27E-01 3.24E-01 1.08E-01 3.09E-02 7.59E-03 1.60E-03 2.91E-04 4.55E-05 6.14E-06 7.15E-07 7.19E-08 6.25E-09 4.69E-10 3.05E-11 1.71E-12 8.30E-14 3.48E-15 1.27E-16 3.98E-18 1.08E-19 2.55E-21 5.20E-23 9.18E-25 1.40E-26
   3.00  0.682  7.42E+01 3.46E+01 1.98E+02 4.51E+00 7.32E+00 7.74E+00 6.33E+00 4.21E+00 2.34E+00 1.10E+00 4.41E-01 1.51E-01 4.45E-02 1.13E-02 2.47E-03 4.65E-04 7.58E-05 1.07E-05 1.31E-06 1.38E-07 1.27E-08 1.01E-09 6.93E-11 4.14E-12 2.15E-13 9.65E-15 3.77E-16 1.28E-17 3.76E-19 9.59E-21 2.13E-22 4.09E-24 6.85E-26
   3.25  0.710  9.59E+01 4.35E+01 2.52E+02 5.56E+00 9.05E+00 9.64E+00 7.96E+00 5.37E+00 3.04E+00 1.46E+00 5.96E-01 2.09E-01 6.34E-02 1.66E-02 3.74E-03 7.32E-04 1.24E-04 1.83E-05 2.34E-06 2.59E-07 2.50E-08 2.10E-09 1.53E-10 9.70E-12 5.35E-13 2.57E-14 1.08E-15 3.91E-17 1.24E-18 3.42E-20 8.23E-22 1.72E-23 3.14E-25
   3.50  0.737  1.23E+02 5.43E+01 3.18E+02 6.81E+00 1.11E+01 1.19E+01 9.96E+00 6.81E+00 3.91E+00 1.91E+00 7.97E-01 2.87E-01 8.92E-02 2.40E-02 5.60E-03 1.13E-03 2.00E-04 3.07E-05 4.09E-06 4.76E-07 4.82E-08 4.26E-09 3.28E-10 2.20E-11 1.29E-12 6.61E-14 2.95E-15 1.15E-16 3.91E-18 1.16E-19 3.02E-21 6.85E-23 1.36E-24
   3.75  0.763  1.57E+02 6.75E+01 4.00E+02 8.30E+00 1.36E+01 1.47E+01 1.24E+01 8.57E+00 4.99E+00 2.48E+00 1.06E+00 3.90E-01 1.24E-01 3.44E-02 8.28E-03 1.73E-03 3.17E-04 5.05E-05 7.03E-06 8.54E-07 9.07E-08 8.42E-09 6.84E-10 4.85E-11 3.02E-12 1.64E-13 7.80E-15 3.25E-16 1.18E-17 3.78E-19 1.06E-20 2.59E-22 5.54E-24
   4.00  0.788  1.98E+02 8.34E+01 5.00E+02 1.01E+01 1.66E+01 1.81E+01 1.53E+01 1.07E+01 6.34E+00 3.20E+00 1.39E+00 5.24E-01 1.71E-01 4.87E-02 1.21E-02 2.62E-03 4.95E-04 8.19E-05 1.19E-05 1.50E-06 1.67E-07 1.63E-08 1.39E-09 1.04E-10 6.83E-12 3.94E-13 1.99E-14 8.83E-16 3.44E-17 1.18E-18 3.53E-20 9.30E-22 2.15E-23
