                    ************************************************************************************************
                    *  Z= 22 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 46 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.204  1.59E-01 3.19E-01 1.76E+00 3.20E-02 7.81E-02 8.62E-02 6.50E-02 3.66E-02 1.60E-02 5.47E-03 1.49E-03 3.24E-04 5.67E-05 7.96E-06 9.02E-07 8.25E-08 6.10E-09 3.65E-10 1.77E-11 6.95E-13 2.21E-14 5.71E-16 1.20E-17 2.03E-19 2.80E-21 3.14E-23 2.85E-25 2.11E-27 1.26E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.288  3.19E-01 3.19E-01 1.76E+00 3.20E-02 7.81E-02 8.62E-02 6.50E-02 3.66E-02 1.60E-02 5.47E-03 1.49E-03 3.24E-04 5.67E-05 7.96E-06 9.02E-07 8.25E-08 6.10E-09 3.65E-10 1.77E-11 6.95E-13 2.21E-14 5.71E-16 1.20E-17 2.03E-19 2.80E-21 3.14E-23 2.85E-25 2.11E-27 1.26E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.353  5.19E-01 4.01E-01 2.21E+00 4.03E-02 9.84E-02 1.09E-01 8.19E-02 4.61E-02 2.01E-02 6.89E-03 1.88E-03 4.09E-04 7.13E-05 1.00E-05 1.14E-06 1.04E-07 7.68E-09 4.60E-10 2.23E-11 8.75E-13 2.78E-14 7.19E-16 1.51E-17 2.56E-19 3.53E-21 3.95E-23 3.59E-25 2.65E-27 1.59E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.408  8.19E-01 5.99E-01 3.31E+00 6.02E-02 1.47E-01 1.62E-01 1.22E-01 6.89E-02 3.00E-02 1.03E-02 2.80E-03 6.10E-04 1.07E-04 1.50E-05 1.70E-06 1.55E-07 1.15E-08 6.87E-10 3.33E-11 1.31E-12 4.16E-14 1.07E-15 2.25E-17 3.82E-19 5.27E-21 5.90E-23 5.37E-25 3.96E-27 2.38E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.456  1.24E+00 8.51E-01 4.70E+00 8.55E-02 2.09E-01 2.30E-01 1.74E-01 9.79E-02 4.27E-02 1.46E-02 3.98E-03 8.67E-04 1.51E-04 2.13E-05 2.41E-06 2.20E-07 1.63E-08 9.76E-10 4.73E-11 1.86E-12 5.91E-14 1.53E-15 3.19E-17 5.43E-19 7.48E-21 8.38E-23 7.62E-25 5.63E-27 3.38E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.499  1.83E+00 1.18E+00 6.50E+00 1.18E-01 2.89E-01 3.19E-01 2.40E-01 1.35E-01 5.90E-02 2.02E-02 5.51E-03 1.20E-03 2.10E-04 2.95E-05 3.34E-06 3.05E-07 2.26E-08 1.35E-09 6.55E-11 2.57E-12 8.18E-14 2.11E-15 4.42E-17 7.51E-19 1.04E-20 1.16E-22 1.06E-24 7.79E-27 4.67E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.539  2.64E+00 1.61E+00 8.89E+00 1.62E-01 3.95E-01 4.36E-01 3.29E-01 1.85E-01 8.07E-02 2.77E-02 7.53E-03 1.64E-03 2.86E-04 4.02E-05 4.56E-06 4.17E-07 3.08E-08 1.85E-09 8.95E-11 3.51E-12 1.12E-13 2.89E-15 6.04E-17 1.03E-18 1.42E-20 1.59E-22 1.44E-24 1.06E-26 6.39E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.576  3.73E+00 2.18E+00 1.20E+01 2.19E-01 5.34E-01 5.90E-01 4.45E-01 2.51E-01 1.09E-01 3.74E-02 1.02E-02 2.22E-03 3.88E-04 5.45E-05 6.17E-06 5.64E-07 4.17E-08 2.50E-09 1.21E-10 4.75E-12 1.51E-13 3.90E-15 8.18E-17 1.39E-18 1.92E-20 2.15E-22 1.95E-24 1.44E-26 8.64E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30
