                    ************************************************************************************************
                    *  Z= 24 A= 54: Positive-Parity Spin-dependent Level Density [MeV-1] for Cr 54 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.214  1.18E-01 2.37E-01 1.52E+00 1.76E-02 4.53E-02 5.58E-02 4.96E-02 3.48E-02 2.00E-02 9.52E-03 3.81E-03 1.29E-03 3.69E-04 8.97E-05 1.86E-05 3.29E-06 4.97E-07 6.42E-08 7.10E-09 6.72E-10 5.44E-11 3.78E-12 2.25E-13 1.15E-14 5.01E-16 1.88E-17 6.05E-19 1.67E-20 3.96E-22 8.06E-24 1.41E-25 2.11E-27 2.71E-29
   0.50  0.303  2.38E-01 2.40E-01 1.55E+00 1.78E-02 4.59E-02 5.66E-02 5.03E-02 3.53E-02 2.02E-02 9.65E-03 3.86E-03 1.31E-03 3.74E-04 9.10E-05 1.89E-05 3.34E-06 5.04E-07 6.52E-08 7.20E-09 6.81E-10 5.52E-11 3.83E-12 2.28E-13 1.16E-14 5.08E-16 1.91E-17 6.14E-19 1.70E-20 4.02E-22 8.17E-24 1.43E-25 2.14E-27 2.75E-29
   0.75  0.371  4.09E-01 3.42E-01 2.21E+00 2.54E-02 6.55E-02 8.07E-02 7.17E-02 5.04E-02 2.89E-02 1.38E-02 5.51E-03 1.86E-03 5.33E-04 1.30E-04 2.69E-05 4.76E-06 7.20E-07 9.30E-08 1.03E-08 9.72E-10 7.87E-11 5.46E-12 3.25E-13 1.66E-14 7.25E-16 2.72E-17 8.76E-19 2.42E-20 5.73E-22 1.17E-23 2.04E-25 3.05E-27 3.93E-29
   1.00  0.429  6.49E-01 4.80E-01 3.09E+00 3.56E-02 9.18E-02 1.13E-01 1.01E-01 7.06E-02 4.05E-02 1.93E-02 7.72E-03 2.61E-03 7.47E-04 1.82E-04 3.77E-05 6.67E-06 1.01E-06 1.30E-07 1.44E-08 1.36E-09 1.10E-10 7.66E-12 4.56E-13 2.32E-14 1.02E-15 3.81E-17 1.23E-18 3.39E-20 8.03E-22 1.63E-23 2.85E-25 4.28E-27 5.50E-29
   1.25  0.479  9.74E-01 6.49E-01 4.18E+00 4.82E-02 1.24E-01 1.53E-01 1.36E-01 9.55E-02 5.48E-02 2.61E-02 1.05E-02 3.53E-03 1.01E-03 2.46E-04 5.11E-05 9.04E-06 1.37E-06 1.76E-07 1.95E-08 1.84E-09 1.49E-10 1.04E-11 6.17E-13 3.15E-14 1.38E-15 5.16E-17 1.66E-18 4.59E-20 1.09E-21 2.21E-23 3.86E-25 5.79E-27 7.45E-29
   1.50  0.525  1.41E+00 8.64E-01 5.57E+00 6.41E-02 1.65E-01 2.04E-01 1.81E-01 1.27E-01 7.29E-02 3.48E-02 1.39E-02 4.70E-03 1.35E-03 3.28E-04 6.79E-05 1.20E-05 1.82E-06 2.35E-07 2.59E-08 2.45E-09 1.99E-10 1.38E-11 8.21E-13 4.19E-14 1.83E-15 6.87E-17 2.21E-18 6.10E-20 1.45E-21 2.94E-23 5.14E-25 7.70E-27 9.91E-29
   1.75  0.567  1.97E+00 1.14E+00 7.34E+00 8.45E-02 2.18E-01 2.68E-01 2.39E-01 1.67E-01 9.61E-02 4.58E-02 1.83E-02 6.19E-03 1.77E-03 4.32E-04 8.95E-05 1.58E-05 2.39E-06 3.09E-07 3.42E-08 3.23E-09 2.62E-10 1.82E-11 1.08E-12 5.51E-14 2.41E-15 9.05E-17 2.91E-18 8.04E-20 1.91E-21 3.88E-23 6.77E-25 1.01E-26 1.31E-28
   2.00  0.606  2.72E+00 1.49E+00 9.60E+00 1.11E-01 2.85E-01 3.51E-01 3.12E-01 2.19E-01 1.26E-01 5.99E-02 2.40E-02 8.10E-03 2.32E-03 5.65E-04 1.17E-04 2.07E-05 3.13E-06 4.04E-07 4.47E-08 4.23E-09 3.43E-10 2.38E-11 1.41E-12 7.22E-14 3.16E-15 1.18E-16 3.81E-18 1.05E-19 2.49E-21 5.07E-23 8.86E-25 1.33E-26 1.71E-28
