                    ************************************************************************************************
                    *  Z= 30 A= 66: Positive-Parity Spin-dependent Level Density [MeV-1] for Zn 66 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.160  2.81E-01 5.62E-01 2.57E+00 8.12E-02 1.80E-01 1.65E-01 9.39E-02 3.64E-02 9.92E-03 1.94E-03 2.74E-04 2.82E-05 2.11E-06 1.16E-07 4.70E-09 1.40E-10 3.05E-12 4.92E-14 5.84E-16 5.11E-18 3.31E-20 1.58E-22 5.57E-25 1.45E-27 2.79E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.227  6.38E-01 7.13E-01 3.26E+00 1.03E-01 2.29E-01 2.10E-01 1.19E-01 4.62E-02 1.26E-02 2.46E-03 3.48E-04 3.57E-05 2.68E-06 1.48E-07 5.97E-09 1.77E-10 3.87E-12 6.24E-14 7.41E-16 6.49E-18 4.20E-20 2.00E-22 7.07E-25 1.84E-27 3.55E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.278  1.09E+00 9.06E-01 4.14E+00 1.31E-01 2.91E-01 2.66E-01 1.51E-01 5.86E-02 1.60E-02 3.12E-03 4.41E-04 4.54E-05 3.41E-06 1.88E-07 7.58E-09 2.25E-10 4.92E-12 7.92E-14 9.41E-16 8.24E-18 5.33E-20 2.55E-22 8.98E-25 2.34E-27 4.50E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.321  1.67E+00 1.15E+00 5.26E+00 1.66E-01 3.69E-01 3.38E-01 1.92E-01 7.44E-02 2.03E-02 3.97E-03 5.60E-04 5.76E-05 4.33E-06 2.38E-07 9.62E-09 2.86E-10 6.25E-12 1.01E-13 1.19E-15 1.05E-17 6.77E-20 3.23E-22 1.14E-24 2.97E-27 5.72E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.359  2.40E+00 1.46E+00 6.68E+00 2.11E-01 4.69E-01 4.29E-01 2.44E-01 9.45E-02 2.58E-02 5.04E-03 7.11E-04 7.32E-05 5.49E-06 3.02E-07 1.22E-08 3.63E-10 7.93E-12 1.28E-13 1.52E-15 1.33E-17 8.59E-20 4.10E-22 1.45E-24 3.77E-27 7.26E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.393  3.32E+00 1.85E+00 8.48E+00 2.68E-01 5.95E-01 5.44E-01 3.10E-01 1.20E-01 3.27E-02 6.39E-03 9.03E-04 9.29E-05 6.98E-06 3.84E-07 1.55E-08 4.61E-10 1.01E-11 1.62E-13 1.93E-15 1.69E-17 1.09E-19 5.21E-22 1.84E-24 4.79E-27 9.22E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.424  4.50E+00 2.35E+00 1.08E+01 3.40E-01 7.56E-01 6.91E-01 3.93E-01 1.52E-01 4.16E-02 8.12E-03 1.15E-03 1.18E-04 8.86E-06 4.87E-07 1.97E-08 5.85E-10 1.28E-11 2.06E-13 2.44E-15 2.14E-17 1.39E-19 6.61E-22 2.33E-24 6.08E-27 1.17E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.454  5.99E+00 2.99E+00 1.37E+01 4.32E-01 9.59E-01 8.78E-01 5.00E-01 1.93E-01 5.28E-02 1.03E-02 1.46E-03 1.50E-04 1.12E-05 6.19E-07 2.50E-08 7.42E-10 1.62E-11 2.61E-13 3.10E-15 2.72E-17 1.76E-19 8.40E-22 2.96E-24 7.72E-27 1.49E-29 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
