                    ************************************************************************************************
                    *  Z= 33 A= 73: Positive-Parity Spin-dependent Level Density [MeV-1] for As 73 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.142  2.03E+00 0.00E+00 7.26E+00 1.00E-30 1.00E-30 1.00E-30 6.50E-03 8.02E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.201  6.36E+00 0.00E+00 5.46E+01 5.28E-01 1.30E+00 2.25E+00 1.29E+00 2.04E+00 1.04E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.246  1.35E+01 0.00E+00 9.31E+01 6.58E-01 1.62E+00 3.27E+00 3.55E+00 3.00E+00 1.76E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.284  2.24E+01 0.00E+00 1.31E+02 6.58E-01 1.62E+00 3.40E+00 4.31E+00 4.80E+00 2.59E+00 4.82E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.318  3.47E+01 0.00E+00 1.95E+02 6.90E-01 1.93E+00 4.63E+00 5.09E+00 5.07E+00 4.01E+00 2.12E+00 8.02E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.348  5.29E+01 1.01E+00 3.03E+02 2.66E+00 4.56E+00 5.87E+00 6.71E+00 6.48E+00 5.78E+00 4.15E+00 2.28E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.376  7.77E+01 1.03E+01 4.31E+02 3.14E+00 5.66E+00 7.74E+00 9.87E+00 8.55E+00 7.14E+00 7.28E+00 3.52E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.402  1.17E+02 1.51E+01 6.95E+02 6.28E+00 1.06E+01 1.32E+01 1.57E+01 1.38E+01 1.13E+01 1.04E+01 5.70E+00 7.23E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.426  1.72E+02 1.87E+01 9.97E+02 9.66E+00 1.44E+01 1.80E+01 2.48E+01 2.05E+01 1.61E+01 1.17E+01 8.15E+00 2.66E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.449  2.38E+02 2.59E+01 1.25E+03 9.33E+00 1.25E+01 1.84E+01 2.99E+01 2.56E+01 2.32E+01 1.43E+01 8.61E+00 4.48E+00 7.23E-01 1.00E-30 2.85E-02 5.61E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.471  3.30E+02 4.23E+01 1.60E+03 1.08E+01 1.49E+01 2.05E+01 2.96E+01 3.16E+01 2.91E+01 1.83E+01 1.08E+01 8.20E+00 2.18E+00 5.61E-01 5.96E-01 9.41E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.492  4.64E+02 5.60E+01 2.34E+03 1.56E+01 2.77E+01 3.47E+01 3.73E+01 3.97E+01 4.29E+01 2.82E+01 1.55E+01 1.22E+01 4.98E+00 1.18E+00 9.80E-01 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.512  6.44E+02 9.80E+01 3.13E+03 1.72E+01 3.46E+01 4.78E+01 5.53E+01 4.87E+01 5.30E+01 3.90E+01 2.32E+01 1.41E+01 7.99E+00 1.98E+00 1.57E+00 1.56E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.531  8.93E+02 1.34E+02 4.41E+03 2.23E+01 4.95E+01 7.12E+01 6.92E+01 7.11E+01 6.70E+01 5.52E+01 3.40E+01 1.91E+01 1.14E+01 4.39E+00 3.19E+00 1.61E+00 3.80E-01 5.61E-01 5.61E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.550  1.23E+03 1.52E+02 6.03E+03 3.02E+01 6.80E+01 9.51E+01 9.51E+01 9.47E+01 8.78E+01 6.97E+01 5.04E+01 2.69E+01 1.49E+01 8.30E+00 4.86E+00 2.13E+00 1.27E+00 1.18E+00 9.41E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.568  1.70E+03 1.86E+02 8.22E+03 4.34E+01 9.32E+01 1.27E+02 1.32E+02 1.27E+02 1.17E+02 9.11E+01 6.74E+01 3.90E+01 2.10E+01 1.30E+01 7.22E+00 3.00E+00 2.07E+00 1.82E+00 1.00E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
