                    ************************************************************************************************
                    *  Z= 40 A= 90: Positive-Parity Spin-dependent Level Density [MeV-1] for Zr 90 and ldmodel= 2  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.165  1.43E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   0.50  0.233  2.85E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   0.75  0.286  4.28E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   1.00  0.330  5.71E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   1.25  0.369  7.14E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   1.50  0.404  8.56E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   1.75  0.436  9.99E-01 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
   2.00  0.467  1.14E+00 2.85E-01 2.43E+00 1.22E-02 3.37E-02 4.72E-02 5.09E-02 4.63E-02 3.67E-02 2.58E-02 1.62E-02 9.18E-03 4.70E-03 2.18E-03 9.21E-04 3.54E-04 1.24E-04 3.95E-05 1.15E-05 3.06E-06 7.43E-07 1.65E-07 3.35E-08 6.22E-09 1.06E-09 1.64E-10 2.33E-11 3.03E-12 3.62E-13 3.94E-14 3.94E-15 3.60E-16 3.02E-17
