                    ************************************************************************************************
                    *  Z= 21 A= 45: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 45 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.181  1.34E+00 2.67E+00 1.39E+01 4.05E-01 6.33E-01 6.29E-01 4.72E-01 2.81E-01 1.36E-01 5.46E-02 1.81E-02 5.04E-03 1.17E-03 2.29E-04 3.76E-05 5.20E-06 6.07E-07 5.98E-08 4.97E-09 3.49E-10 2.07E-11 1.04E-12 4.42E-14 1.59E-15 4.83E-17 1.24E-18 2.71E-20 5.01E-22 7.82E-24 1.04E-25 1.16E-27 1.10E-29 1.00E-30
   0.50  0.255  2.94E+00 3.21E+00 1.67E+01 4.87E-01 7.61E-01 7.56E-01 5.67E-01 3.38E-01 1.64E-01 6.56E-02 2.18E-02 6.05E-03 1.41E-03 2.75E-04 4.52E-05 6.25E-06 7.30E-07 7.18E-08 5.97E-09 4.20E-10 2.49E-11 1.25E-12 5.32E-14 1.91E-15 5.81E-17 1.50E-18 3.26E-20 6.02E-22 9.40E-24 1.24E-25 1.40E-27 1.33E-29 1.00E-30
   0.75  0.313  4.87E+00 3.86E+00 2.00E+01 5.85E-01 9.15E-01 9.09E-01 6.81E-01 4.06E-01 1.97E-01 7.88E-02 2.62E-02 7.28E-03 1.69E-03 3.30E-04 5.43E-05 7.51E-06 8.77E-07 8.63E-08 7.18E-09 5.04E-10 3.00E-11 1.50E-12 6.39E-14 2.30E-15 6.98E-17 1.80E-18 3.92E-20 7.23E-22 1.13E-23 1.50E-25 1.68E-27 1.59E-29 1.00E-30
   1.00  0.361  7.19E+00 4.64E+00 2.41E+01 7.03E-01 1.10E+00 1.09E+00 8.19E-01 4.88E-01 2.37E-01 9.47E-02 3.15E-02 8.74E-03 2.03E-03 3.97E-04 6.53E-05 9.03E-06 1.05E-06 1.04E-07 8.63E-09 6.06E-10 3.60E-11 1.81E-12 7.68E-14 2.76E-15 8.39E-17 2.16E-18 4.71E-20 8.69E-22 1.36E-23 1.80E-25 2.02E-27 1.92E-29 1.00E-30
   1.25  0.404  9.98E+00 5.58E+00 2.90E+01 8.45E-01 1.32E+00 1.31E+00 9.84E-01 5.87E-01 2.85E-01 1.14E-01 3.80E-02 1.06E-02 2.46E-03 4.81E-04 7.91E-05 1.10E-05 1.28E-06 1.27E-07 1.05E-08 7.42E-10 4.42E-11 2.22E-12 9.48E-14 3.41E-15 1.04E-16 2.69E-18 5.88E-20 1.09E-21 1.71E-23 2.27E-25 2.55E-27 2.44E-29 1.00E-30
   1.50  0.442  1.33E+01 6.70E+00 3.51E+01 1.00E+00 1.57E+00 1.57E+00 1.19E+00 7.17E-01 3.53E-01 1.44E-01 4.88E-02 1.39E-02 3.30E-03 6.64E-04 1.12E-04 1.61E-05 1.95E-06 1.99E-07 1.73E-08 1.27E-09 7.90E-11 4.17E-12 1.87E-13 7.09E-15 2.28E-16 6.25E-18 1.45E-19 2.86E-21 4.78E-23 6.80E-25 8.21E-27 8.42E-29 1.00E-30
   1.75  0.478  1.74E+01 8.05E+00 4.26E+01 1.19E+00 1.87E+00 1.88E+00 1.43E+00 8.75E-01 4.37E-01 1.81E-01 6.25E-02 1.81E-02 4.43E-03 9.12E-04 1.59E-04 2.35E-05 2.94E-06 3.12E-07 2.81E-08 2.15E-09 1.40E-10 7.71E-12 3.62E-13 1.45E-14 4.91E-16 1.42E-17 3.50E-19 7.32E-21 1.30E-22 1.98E-24 2.56E-26 2.82E-28 2.64E-30
   2.00  0.511  2.22E+01 9.68E+00 5.17E+01 1.41E+00 2.22E+00 2.25E+00 1.73E+00 1.07E+00 5.40E-01 2.27E-01 7.98E-02 2.36E-02 5.91E-03 1.25E-03 2.24E-04 3.40E-05 4.40E-06 4.83E-07 4.52E-08 3.59E-09 2.44E-10 1.41E-11 6.92E-13 2.90E-14 1.04E-15 3.17E-17 8.25E-19 1.83E-20 3.47E-22 5.62E-24 7.75E-26 9.13E-28 9.18E-30
   2.25  0.542  2.80E+01 1.16E+01 6.27E+01 1.67E+00 2.64E+00 2.69E+00 2.09E+00 1.30E+00 6.67E-01 2.84E-01 1.02E-01 3.07E-02 7.86E-03 1.70E-03 3.13E-04 4.90E-05 6.54E-06 7.43E-07 7.20E-08 5.95E-09 4.20E-10 2.53E-11 1.30E-12 5.74E-14 2.16E-15 6.94E-17 1.91E-18 4.49E-20 9.02E-22 1.55E-23 2.28E-25 2.87E-27 3.10E-29
   2.50  0.571  3.50E+01 1.40E+01 7.60E+01 1.98E+00 3.14E+00 3.22E+00 2.52E+00 1.58E+00 8.22E-01 3.56E-01 1.30E-01 3.99E-02 1.04E-02 2.31E-03 4.36E-04 7.03E-05 9.66E-06 1.13E-06 1.14E-07 9.77E-09 7.18E-10 4.51E-11 2.43E-12 1.12E-13 4.42E-15 1.49E-16 4.33E-18 1.08E-19 2.29E-21 4.19E-23 6.55E-25 8.80E-27 1.01E-28
   2.75  0.599  4.34E+01 1.68E+01 9.21E+01 2.34E+00 3.74E+00 3.85E+00 3.04E+00 1.93E+00 1.01E+00 4.45E-01 1.65E-01 5.17E-02 1.38E-02 3.13E-03 6.05E-04 1.00E-04 1.42E-05 1.72E-06 1.79E-07 1.59E-08 1.21E-09 7.94E-11 4.46E-12 2.15E-13 8.90E-15 3.16E-16 9.65E-18 2.53E-19 5.70E-21 1.10E-22 1.83E-24 2.62E-26 3.22E-28
   3.00  0.625  5.35E+01 2.02E+01 1.12E+02 2.78E+00 4.45E+00 4.61E+00 3.66E+00 2.35E+00 1.25E+00 5.55E-01 2.09E-01 6.67E-02 1.81E-02 4.21E-03 8.36E-04 1.42E-04 2.07E-05 2.59E-06 2.78E-07 2.56E-08 2.03E-09 1.38E-10 8.09E-12 4.07E-13 1.77E-14 6.58E-16 2.11E-17 5.83E-19 1.39E-20 2.84E-22 5.01E-24 7.60E-26 9.94E-28
   3.25  0.651  6.56E+01 2.43E+01 1.35E+02 3.30E+00 5.30E+00 5.51E+00 4.41E+00 2.86E+00 1.53E+00 6.92E-01 2.65E-01 8.60E-02 2.38E-02 5.66E-03 1.15E-03 2.01E-04 3.01E-05 3.87E-06 4.29E-07 4.09E-08 3.36E-09 2.38E-10 1.45E-11 7.62E-13 3.45E-14 1.35E-15 4.54E-17 1.32E-18 3.31E-20 7.16E-22 1.34E-23 2.15E-25 2.99E-27
   3.50  0.675  8.02E+01 2.92E+01 1.64E+02 3.91E+00 6.30E+00 6.59E+00 5.31E+00 3.47E+00 1.89E+00 8.62E-01 3.34E-01 1.11E-01 3.13E-02 7.57E-03 1.58E-03 2.82E-04 4.34E-05 5.76E-06 6.58E-07 6.49E-08 5.52E-09 4.06E-10 2.57E-11 1.41E-12 6.66E-14 2.72E-15 9.62E-17 2.94E-18 7.75E-20 1.77E-21 3.49E-23 5.95E-25 8.78E-27
   3.75  0.699  9.78E+01 3.51E+01 1.98E+02 4.64E+00 7.50E+00 7.89E+00 6.39E+00 4.22E+00 2.32E+00 1.07E+00 4.22E-01 1.42E-01 4.09E-02 1.01E-02 2.15E-03 3.94E-04 6.24E-05 8.51E-06 1.00E-06 1.02E-07 8.99E-09 6.85E-10 4.51E-11 2.57E-12 1.27E-13 5.42E-15 2.00E-16 6.42E-18 1.78E-19 4.28E-21 8.91E-23 1.61E-24 2.51E-26
   4.00  0.722  1.19E+02 4.21E+01 2.40E+02 5.51E+00 8.93E+00 9.43E+00 7.70E+00 5.12E+00 2.84E+00 1.33E+00 5.32E-01 1.82E-01 5.33E-02 1.35E-02 2.93E-03 5.49E-04 8.91E-05 1.25E-05 1.52E-06 1.60E-07 1.45E-08 1.15E-09 7.83E-11 4.64E-12 2.39E-13 1.06E-14 4.12E-16 1.38E-17 4.02E-19 1.02E-20 2.23E-22 4.25E-24 7.03E-26
