                    ************************************************************************************************
                    *  Z= 21 A= 46: Positive-Parity Spin-dependent Level Density [MeV-1] for Sc 46 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.182  1.32E+00 8.11E-01 3.92E+01 3.55E-01 1.00E-30 7.78E-01 2.62E+00 9.43E-01 7.46E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.257  3.72E+00 2.55E-01 6.78E+01 9.39E-01 1.67E-01 1.36E+00 4.22E+00 1.74E+00 1.22E+00 7.23E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.315  7.06E+00 2.15E+00 1.01E+02 9.36E-01 5.69E-01 2.17E+00 3.83E+00 2.80E+00 2.01E+00 5.51E-01 3.35E-01 2.97E-02 2.15E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.364  1.10E+01 5.64E+00 1.35E+02 4.07E-01 1.10E+00 3.08E+00 1.52E+00 3.95E+00 2.99E+00 1.13E+00 7.87E-01 2.81E-01 2.10E-01 4.25E-02 4.25E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.407  1.65E+01 9.24E+00 1.99E+02 4.98E-01 1.98E+00 3.77E+00 1.95E+00 4.85E+00 3.96E+00 2.15E+00 1.33E+00 5.88E-01 4.41E-01 1.49E-01 1.49E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.446  2.21E+01 1.22E+01 1.85E+02 1.01E+00 1.98E+00 3.73E+00 3.88E+00 4.86E+00 3.59E+00 1.69E+00 1.08E+00 2.89E-01 2.15E-01 3.20E-02 3.20E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.481  2.90E+01 1.39E+01 2.25E+02 1.33E+00 2.61E+00 4.09E+00 5.27E+00 5.40E+00 4.06E+00 2.55E+00 1.36E+00 3.75E-01 2.80E-01 4.12E-04 4.12E-04 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.514  3.46E+01 1.98E+01 2.22E+02 9.44E-01 1.82E+00 2.71E+00 3.57E+00 3.55E+00 2.66E+00 1.76E+00 9.07E-01 1.75E+00 1.32E+00 6.81E-01 4.60E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
