                    ************************************************************************************************
                    *  Z= 22 A= 47: Positive-Parity Spin-dependent Level Density [MeV-1] for Ti 47 and ldmodel= 6  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.185  1.24E+01 0.00E+00 5.84E+00 8.76E-01 8.59E-01 3.66E-02 1.00E-30 1.00E-30 1.00E-30 1.69E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.261  2.57E+01 0.00E+00 2.59E+01 4.74E-01 1.11E+00 4.86E-01 2.78E-02 2.50E-02 3.13E-01 1.22E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.320  4.35E+01 0.00E+00 1.86E+01 7.09E-01 1.08E+00 1.08E+00 8.85E-02 7.53E-02 7.20E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.369  7.30E+01 0.00E+00 6.32E+01 1.19E+00 1.73E+00 2.10E+00 9.26E-01 1.98E-01 1.72E+00 7.64E-01 6.16E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.413  1.08E+02 0.00E+00 1.62E+02 1.72E+00 5.35E+00 4.14E+00 2.36E+00 3.05E+00 1.99E+00 2.93E+00 1.28E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.50  0.452  1.54E+02 0.00E+00 4.14E+02 2.83E+00 9.75E+00 6.54E+00 1.07E+01 5.90E+00 2.86E+00 5.12E+00 4.40E+00 2.58E+00 1.00E-30 5.95E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.75  0.488  2.16E+02 0.00E+00 7.67E+02 1.21E+01 6.49E+00 1.36E+01 8.03E+00 1.42E+01 1.24E+01 2.94E+00 7.05E+00 4.92E+00 2.91E+00 1.73E+00 6.60E-01 5.13E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.00  0.522  3.05E+02 0.00E+00 1.55E+03 1.83E+01 2.17E+01 1.92E+01 1.31E+01 2.39E+01 1.56E+01 1.60E+01 1.42E+01 9.01E+00 8.84E+00 3.25E+00 2.13E+00 1.11E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.25  0.554  4.54E+02 0.00E+00 3.55E+03 2.57E+01 4.42E+01 4.12E+01 2.84E+01 4.34E+01 3.41E+01 4.01E+01 2.95E+01 1.62E+01 1.89E+01 7.93E+00 6.90E+00 6.05E+00 3.33E+00 1.79E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.50  0.584  7.06E+02 0.00E+00 7.69E+03 3.61E+01 8.98E+01 8.81E+01 6.17E+01 7.88E+01 7.45E+01 1.01E+02 6.14E+01 2.93E+01 4.06E+01 1.93E+01 2.24E+01 1.11E+01 6.73E+00 3.63E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   2.75  0.612  1.10E+03 0.00E+00 1.27E+04 4.97E+01 1.09E+02 1.26E+02 1.14E+02 1.34E+02 1.28E+02 1.42E+02 1.03E+02 6.37E+01 6.53E+01 3.79E+01 3.44E+01 1.86E+01 1.07E+01 5.82E+00 1.43E+00 9.45E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.00  0.639  1.70E+03 3.87E-01 2.13E+04 6.84E+01 1.32E+02 1.81E+02 2.12E+02 2.27E+02 2.20E+02 1.99E+02 1.71E+02 1.39E+02 1.05E+02 7.43E+01 5.29E+01 3.13E+01 1.71E+01 9.32E+00 2.89E+00 1.91E+00 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.25  0.665  2.46E+03 1.35E+00 2.72E+04 8.67E+01 1.69E+02 2.31E+02 2.72E+02 2.89E+02 2.81E+02 2.54E+02 2.19E+02 1.77E+02 1.35E+02 9.67E+01 6.56E+01 3.92E+01 2.19E+01 1.24E+01 4.62E+00 2.75E+00 2.14E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.50  0.690  3.41E+03 2.51E+00 3.49E+04 1.10E+02 2.16E+02 2.95E+02 3.48E+02 3.68E+02 3.58E+02 3.25E+02 2.80E+02 2.26E+02 1.75E+02 1.26E+02 8.14E+01 4.91E+01 2.80E+01 1.64E+01 7.38E+00 3.95E+00 4.33E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   3.75  0.715  4.90E+03 2.55E+00 4.42E+04 1.35E+02 2.65E+02 3.62E+02 4.29E+02 4.55E+02 4.46E+02 4.07E+02 3.53E+02 2.89E+02 2.25E+02 1.63E+02 1.06E+02 6.52E+01 3.80E+01 2.13E+01 1.05E+01 5.26E+00 1.13E+00 3.11E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   4.00  0.738  7.21E+03 6.21E+00 5.61E+04 1.66E+02 3.24E+02 4.45E+02 5.28E+02 5.62E+02 5.55E+02 5.11E+02 4.46E+02 3.68E+02 2.89E+02 2.10E+02 1.39E+02 8.66E+01 5.16E+01 2.75E+01 1.50E+01 7.01E+00 1.85E+00 6.28E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
