                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  2.50E-31 5.00E-31 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.50  0.204  5.00E-31 5.00E-31 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   0.75  0.250  7.50E-31 5.00E-31 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.00  0.288  1.00E-30 5.00E-31 9.00E-28 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   1.25  0.322  3.19E-01 6.37E-01 5.33E+00 2.83E-02 7.76E-02 1.08E-01 1.16E-01 1.04E-01 8.09E-02 5.57E-02 3.43E-02 1.89E-02 9.42E-03 4.24E-03 1.73E-03 6.38E-04 2.14E-04 6.53E-05 1.81E-05 4.58E-06 1.05E-06 2.21E-07 4.21E-08 7.34E-09 1.17E-09 1.69E-10 2.23E-11 2.69E-12 2.95E-13 2.96E-14 2.72E-15 2.27E-16 1.73E-17
   1.50  0.353  6.73E-01 7.10E-01 5.93E+00 3.16E-02 8.65E-02 1.20E-01 1.29E-01 1.16E-01 9.01E-02 6.21E-02 3.82E-02 2.11E-02 1.05E-02 4.72E-03 1.92E-03 7.11E-04 2.38E-04 7.28E-05 2.02E-05 5.10E-06 1.17E-06 2.46E-07 4.70E-08 8.18E-09 1.30E-09 1.88E-10 2.48E-11 2.99E-12 3.29E-13 3.30E-14 3.03E-15 2.53E-16 1.93E-17
   1.75  0.381  1.09E+00 8.30E-01 6.94E+00 3.69E-02 1.01E-01 1.41E-01 1.51E-01 1.35E-01 1.05E-01 7.26E-02 4.47E-02 2.47E-02 1.23E-02 5.52E-03 2.25E-03 8.31E-04 2.79E-04 8.51E-05 2.36E-05 5.96E-06 1.37E-06 2.88E-07 5.49E-08 9.56E-09 1.52E-09 2.20E-10 2.90E-11 3.50E-12 3.85E-13 3.86E-14 3.54E-15 2.96E-16 2.26E-17
   2.00  0.408  1.59E+00 9.95E-01 8.32E+00 4.42E-02 1.21E-01 1.69E-01 1.81E-01 1.62E-01 1.26E-01 8.71E-02 5.35E-02 2.96E-02 1.47E-02 6.62E-03 2.70E-03 9.96E-04 3.34E-04 1.02E-04 2.83E-05 7.15E-06 1.65E-06 3.45E-07 6.59E-08 1.15E-08 1.82E-09 2.64E-10 3.48E-11 4.20E-12 4.61E-13 4.63E-14 4.24E-15 3.55E-16 2.71E-17
