                    ************************************************************************************************
                    *  Z= 39 A= 87: Positive-Parity Spin-dependent Level Density [MeV-1] for Y  87 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   0.25  0.144  1.90E+00 3.79E+00 2.20E+01 4.83E-01 7.87E-01 8.39E-01 6.95E-01 4.71E-01 2.67E-01 1.28E-01 5.29E-02 1.87E-02 5.69E-03 1.50E-03 3.41E-04 6.73E-05 1.15E-05 1.71E-06 2.21E-07 2.48E-08 2.42E-09 2.06E-10 1.52E-11 9.78E-13 5.48E-14 2.67E-15 1.13E-16 4.20E-18 1.35E-19 3.80E-21 9.32E-23 1.99E-24 3.70E-26
   0.50  0.204  4.58E+00 5.37E+00 3.12E+01 6.84E-01 1.11E+00 1.19E+00 9.84E-01 6.67E-01 3.78E-01 1.82E-01 7.49E-02 2.65E-02 8.06E-03 2.12E-03 4.83E-04 9.53E-05 1.63E-05 2.43E-06 3.13E-07 3.52E-08 3.43E-09 2.91E-10 2.15E-11 1.39E-12 7.76E-14 3.79E-15 1.61E-16 5.95E-18 1.92E-19 5.39E-21 1.32E-22 2.82E-24 5.24E-26
   0.75  0.249  8.29E+00 7.41E+00 4.30E+01 9.44E-01 1.54E+00 1.64E+00 1.36E+00 9.20E-01 5.22E-01 2.51E-01 1.03E-01 3.65E-02 1.11E-02 2.93E-03 6.67E-04 1.32E-04 2.25E-05 3.35E-06 4.32E-07 4.85E-08 4.74E-09 4.02E-10 2.97E-11 1.91E-12 1.07E-13 5.22E-15 2.22E-16 8.21E-18 2.65E-19 7.44E-21 1.82E-22 3.89E-24 7.23E-26
   1.00  0.288  1.34E+01 1.02E+01 5.89E+01 1.29E+00 2.11E+00 2.25E+00 1.86E+00 1.26E+00 7.15E-01 3.44E-01 1.41E-01 5.00E-02 1.52E-02 4.01E-03 9.13E-04 1.80E-04 3.08E-05 4.58E-06 5.92E-07 6.64E-08 6.49E-09 5.51E-10 4.07E-11 2.62E-12 1.47E-13 7.15E-15 3.04E-16 1.12E-17 3.63E-19 1.02E-20 2.49E-22 5.32E-24 9.90E-26
   1.25  0.322  2.03E+01 1.38E+01 8.03E+01 1.76E+00 2.87E+00 3.06E+00 2.53E+00 1.72E+00 9.74E-01 4.69E-01 1.93E-01 6.81E-02 2.08E-02 5.46E-03 1.24E-03 2.46E-04 4.20E-05 6.25E-06 8.07E-07 9.06E-08 8.84E-09 7.51E-10 5.55E-11 3.57E-12 2.00E-13 9.75E-15 4.14E-16 1.53E-17 4.94E-19 1.39E-20 3.40E-22 7.25E-24 1.35E-25
   1.50  0.353  2.97E+01 1.88E+01 1.09E+02 2.39E+00 3.90E+00 4.16E+00 3.44E+00 2.33E+00 1.32E+00 6.37E-01 2.62E-01 9.26E-02 2.82E-02 7.42E-03 1.69E-03 3.34E-04 5.71E-05 8.49E-06 1.10E-06 1.23E-07 1.20E-08 1.02E-09 7.54E-11 4.85E-12 2.72E-13 1.32E-14 5.63E-16 2.08E-17 6.71E-19 1.89E-20 4.62E-22 9.85E-24 1.83E-25
   1.75  0.381  4.24E+01 2.55E+01 1.51E+02 3.14E+00 5.16E+00 5.57E+00 4.68E+00 3.23E+00 1.88E+00 9.32E-01 3.97E-01 1.46E-01 4.63E-02 1.28E-02 3.06E-03 6.39E-04 1.16E-04 1.84E-05 2.55E-06 3.08E-07 3.26E-08 3.00E-09 2.42E-10 1.71E-11 1.05E-12 5.68E-14 2.68E-15 1.11E-16 4.01E-18 1.27E-19 3.51E-21 8.51E-23 1.81E-24
   2.00  0.407  5.97E+01 3.45E+01 2.11E+02 4.04E+00 6.70E+00 7.36E+00 6.35E+00 4.53E+00 2.74E+00 1.42E+00 6.40E-01 2.50E-01 8.51E-02 2.54E-02 6.61E-03 1.51E-03 3.03E-04 5.34E-05 8.28E-06 1.13E-06 1.35E-07 1.43E-08 1.33E-09 1.09E-10 7.84E-12 4.98E-13 2.79E-14 1.38E-15 5.99E-17 2.30E-18 7.77E-20 2.32E-21 6.10E-23
   2.25  0.432  8.30E+01 4.66E+01 2.94E+02 5.19E+00 8.69E+00 9.71E+00 8.57E+00 6.30E+00 3.95E+00 2.14E+00 1.01E+00 4.17E-01 1.51E-01 4.82E-02 1.35E-02 3.36E-03 7.35E-04 1.42E-04 2.44E-05 3.70E-06 4.98E-07 5.93E-08 6.26E-09 5.85E-10 4.85E-11 3.57E-12 2.33E-13 1.35E-14 6.93E-16 3.16E-17 1.28E-18 4.59E-20 1.46E-21
   2.50  0.455  1.14E+02 6.30E+01 4.09E+02 6.68E+00 1.13E+01 1.28E+01 1.15E+01 8.70E+00 5.63E+00 3.17E+00 1.56E+00 6.79E-01 2.60E-01 8.81E-02 2.65E-02 7.07E-03 1.68E-03 3.54E-04 6.64E-05 1.11E-05 1.65E-06 2.19E-07 2.59E-08 2.74E-09 2.58E-10 2.16E-11 1.62E-12 1.08E-13 6.46E-15 3.44E-16 1.64E-17 6.94E-19 2.63E-20
