                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  7.66E-01 1.53E+00 1.28E+01 6.81E-02 1.87E-01 2.60E-01 2.78E-01 2.50E-01 1.95E-01 1.34E-01 8.25E-02 4.55E-02 2.27E-02 1.02E-02 4.15E-03 1.53E-03 5.15E-04 1.57E-04 4.36E-05 1.10E-05 2.53E-06 5.31E-07 1.01E-07 1.77E-08 2.80E-09 4.06E-10 5.36E-11 6.46E-12 7.11E-13 7.13E-14 6.53E-15 5.46E-16 4.17E-17
   0.50  0.204  2.03E+00 2.53E+00 2.11E+01 1.12E-01 3.08E-01 4.29E-01 4.59E-01 4.11E-01 3.21E-01 2.21E-01 1.36E-01 7.51E-02 3.74E-02 1.68E-02 6.85E-03 2.53E-03 8.49E-04 2.59E-04 7.19E-05 1.82E-05 4.18E-06 8.76E-07 1.67E-07 2.91E-08 4.62E-09 6.69E-10 8.84E-11 1.07E-11 1.17E-12 1.18E-13 1.08E-14 9.01E-16 6.88E-17
   0.75  0.250  4.08E+00 4.10E+00 3.43E+01 1.82E-01 4.99E-01 6.95E-01 7.43E-01 6.67E-01 5.20E-01 3.58E-01 2.20E-01 1.22E-01 6.06E-02 2.72E-02 1.11E-02 4.10E-03 1.38E-03 4.20E-04 1.17E-04 2.94E-05 6.77E-06 1.42E-06 2.71E-07 4.72E-08 7.49E-09 1.09E-09 1.43E-10 1.73E-11 1.90E-12 1.91E-13 1.75E-14 1.46E-15 1.11E-16
   1.00  0.288  7.36E+00 6.56E+00 5.48E+01 2.91E-01 7.99E-01 1.11E+00 1.19E+00 1.07E+00 8.32E-01 5.73E-01 3.53E-01 1.95E-01 9.69E-02 4.36E-02 1.78E-02 6.56E-03 2.20E-03 6.72E-04 1.86E-04 4.71E-05 1.08E-05 2.27E-06 4.34E-07 7.55E-08 1.20E-08 1.74E-09 2.29E-10 2.76E-11 3.04E-12 3.05E-13 2.79E-14 2.34E-15 1.78E-16
   1.25  0.322  1.25E+01 1.04E+01 8.68E+01 4.61E-01 1.27E+00 1.76E+00 1.88E+00 1.69E+00 1.32E+00 9.08E-01 5.58E-01 3.08E-01 1.53E-01 6.90E-02 2.81E-02 1.04E-02 3.49E-03 1.06E-03 2.95E-04 7.46E-05 1.72E-05 3.60E-06 6.87E-07 1.20E-07 1.90E-08 2.75E-09 3.63E-10 4.38E-11 4.81E-12 4.83E-13 4.43E-14 3.70E-15 2.82E-16
   1.50  0.353  2.07E+01 1.63E+01 1.36E+02 7.24E-01 1.99E+00 2.77E+00 2.96E+00 2.65E+00 2.07E+00 1.43E+00 8.77E-01 4.84E-01 2.41E-01 1.08E-01 4.41E-02 1.63E-02 5.47E-03 1.67E-03 4.64E-04 1.17E-04 2.69E-05 5.65E-06 1.08E-06 1.88E-07 2.98E-08 4.32E-09 5.70E-10 6.87E-11 7.56E-12 7.58E-13 6.95E-14 5.81E-15 4.43E-16
   1.75  0.381  3.34E+01 2.54E+01 2.12E+02 1.13E+00 3.10E+00 4.31E+00 4.61E+00 4.14E+00 3.22E+00 2.22E+00 1.37E+00 7.54E-01 3.75E-01 1.69E-01 6.88E-02 2.54E-02 8.53E-03 2.60E-03 7.23E-04 1.83E-04 4.20E-05 8.80E-06 1.68E-06 2.93E-07 4.65E-08 6.73E-09 8.89E-10 1.07E-10 1.18E-11 1.18E-12 1.08E-13 9.05E-15 6.91E-16
   2.00  0.408  5.31E+01 3.94E+01 3.29E+02 1.75E+00 4.80E+00 6.68E+00 7.14E+00 6.41E+00 5.00E+00 3.44E+00 2.12E+00 1.17E+00 5.82E-01 2.62E-01 1.07E-01 3.94E-02 1.32E-02 4.03E-03 1.12E-03 2.83E-04 6.50E-05 1.36E-05 2.60E-06 4.53E-07 7.20E-08 1.04E-08 1.38E-09 1.66E-10 1.82E-11 1.83E-12 1.68E-13 1.40E-14 1.07E-15
