                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  8.90E-01 1.78E+00 1.49E+01 7.91E-02 2.17E-01 3.02E-01 3.23E-01 2.90E-01 2.26E-01 1.56E-01 9.57E-02 5.29E-02 2.63E-02 1.18E-02 4.82E-03 1.78E-03 5.98E-04 1.82E-04 5.06E-05 1.28E-05 2.94E-06 6.16E-07 1.18E-07 2.05E-08 3.26E-09 4.71E-10 6.23E-11 7.50E-12 8.25E-13 8.28E-14 7.59E-15 6.34E-16 4.84E-17
   0.50  0.204  2.34E+00 2.89E+00 2.42E+01 1.29E-01 3.53E-01 4.91E-01 5.25E-01 4.71E-01 3.67E-01 2.53E-01 1.56E-01 8.59E-02 4.28E-02 1.92E-02 7.84E-03 2.90E-03 9.72E-04 2.97E-04 8.23E-05 2.08E-05 4.78E-06 1.00E-06 1.91E-07 3.33E-08 5.29E-09 7.66E-10 1.01E-10 1.22E-11 1.34E-12 1.35E-13 1.23E-14 1.03E-15 7.87E-17
   0.75  0.250  4.66E+00 4.64E+00 3.88E+01 2.06E-01 5.66E-01 7.88E-01 8.42E-01 7.56E-01 5.89E-01 4.06E-01 2.50E-01 1.38E-01 6.86E-02 3.09E-02 1.26E-02 4.65E-03 1.56E-03 4.76E-04 1.32E-04 3.33E-05 7.67E-06 1.61E-06 3.07E-07 5.35E-08 8.49E-09 1.23E-09 1.62E-10 1.96E-11 2.15E-12 2.16E-13 1.98E-14 1.65E-15 1.26E-16
   1.00  0.288  8.34E+00 7.36E+00 6.16E+01 3.27E-01 8.97E-01 1.25E+00 1.34E+00 1.20E+00 9.35E-01 6.44E-01 3.96E-01 2.19E-01 1.09E-01 4.89E-02 1.99E-02 7.37E-03 2.47E-03 7.55E-04 2.09E-04 5.29E-05 1.22E-05 2.55E-06 4.87E-07 8.48E-08 1.35E-08 1.95E-09 2.58E-10 3.10E-11 3.41E-12 3.43E-13 3.14E-14 2.62E-15 2.00E-16
   1.25  0.322  1.41E+01 1.16E+01 9.68E+01 5.15E-01 1.41E+00 1.96E+00 2.10E+00 1.88E+00 1.47E+00 1.01E+00 6.23E-01 3.44E-01 1.71E-01 7.70E-02 3.14E-02 1.16E-02 3.89E-03 1.19E-03 3.29E-04 8.32E-05 1.91E-05 4.01E-06 7.66E-07 1.33E-07 2.12E-08 3.07E-09 4.05E-10 4.88E-11 5.37E-12 5.39E-13 4.94E-14 4.13E-15 3.15E-16
   1.50  0.353  2.32E+01 1.81E+01 1.51E+02 8.03E-01 2.20E+00 3.07E+00 3.28E+00 2.94E+00 2.29E+00 1.58E+00 9.72E-01 5.37E-01 2.67E-01 1.20E-01 4.89E-02 1.81E-02 6.07E-03 1.85E-03 5.14E-04 1.30E-04 2.99E-05 6.26E-06 1.20E-06 2.08E-07 3.31E-08 4.79E-09 6.32E-10 7.62E-11 8.38E-12 8.41E-13 7.70E-14 6.44E-15 4.92E-16
   1.75  0.381  3.72E+01 2.80E+01 2.34E+02 1.25E+00 3.42E+00 4.76E+00 5.08E+00 4.56E+00 3.56E+00 2.45E+00 1.51E+00 8.32E-01 4.14E-01 1.86E-01 7.59E-02 2.81E-02 9.42E-03 2.87E-03 7.97E-04 2.01E-04 4.63E-05 9.71E-06 1.85E-06 3.23E-07 5.13E-08 7.42E-09 9.81E-10 1.18E-10 1.30E-11 1.30E-12 1.19E-13 9.99E-15 7.63E-16
   2.00  0.408  5.88E+01 4.32E+01 3.61E+02 1.92E+00 5.27E+00 7.34E+00 7.84E+00 7.04E+00 5.49E+00 3.78E+00 2.33E+00 1.28E+00 6.39E-01 2.87E-01 1.17E-01 4.33E-02 1.45E-02 4.43E-03 1.23E-03 3.11E-04 7.15E-05 1.50E-05 2.86E-06 4.98E-07 7.91E-08 1.14E-08 1.51E-09 1.82E-10 2.00E-11 2.01E-12 1.84E-13 1.54E-14 1.18E-15
