                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  1.49E-01 2.97E-01 2.49E+00 1.32E-02 3.63E-02 5.05E-02 5.40E-02 4.84E-02 3.78E-02 2.60E-02 1.60E-02 8.83E-03 4.40E-03 1.98E-03 8.06E-04 2.98E-04 9.99E-05 3.05E-05 8.46E-06 2.14E-06 4.92E-07 1.03E-07 1.97E-08 3.43E-09 5.44E-10 7.88E-11 1.04E-11 1.25E-12 1.38E-13 1.38E-14 1.27E-15 1.06E-16 8.09E-18
   0.50  0.204  3.53E-01 4.08E-01 3.41E+00 1.81E-02 4.97E-02 6.92E-02 7.40E-02 6.64E-02 5.18E-02 3.57E-02 2.19E-02 1.21E-02 6.03E-03 2.71E-03 1.10E-03 4.08E-04 1.37E-04 4.18E-05 1.16E-05 2.93E-06 6.74E-07 1.41E-07 2.70E-08 4.70E-09 7.46E-10 1.08E-10 1.43E-11 1.72E-12 1.89E-13 1.90E-14 1.74E-15 1.45E-16 1.11E-17
   0.75  0.250  6.32E-01 5.59E-01 4.67E+00 2.48E-02 6.81E-02 9.49E-02 1.01E-01 9.10E-02 7.10E-02 4.89E-02 3.01E-02 1.66E-02 8.26E-03 3.72E-03 1.51E-03 5.59E-04 1.88E-04 5.73E-05 1.59E-05 4.02E-06 9.24E-07 1.94E-07 3.70E-08 6.44E-09 1.02E-09 1.48E-10 1.96E-11 2.36E-12 2.59E-13 2.60E-14 2.38E-15 1.99E-16 1.52E-17
   1.00  0.288  1.02E+00 7.66E-01 6.41E+00 3.41E-02 9.34E-02 1.30E-01 1.39E-01 1.25E-01 9.73E-02 6.70E-02 4.12E-02 2.28E-02 1.13E-02 5.09E-03 2.08E-03 7.67E-04 2.57E-04 7.85E-05 2.18E-05 5.51E-06 1.27E-06 2.65E-07 5.07E-08 8.83E-09 1.40E-09 2.03E-10 2.68E-11 3.23E-12 3.55E-13 3.57E-14 3.27E-15 2.73E-16 2.08E-17
   1.25  0.322  1.54E+00 1.05E+00 8.78E+00 4.67E-02 1.28E-01 1.78E-01 1.91E-01 1.71E-01 1.33E-01 9.19E-02 5.65E-02 3.12E-02 1.55E-02 6.98E-03 2.84E-03 1.05E-03 3.53E-04 1.08E-04 2.99E-05 7.55E-06 1.74E-06 3.64E-07 6.95E-08 1.21E-08 1.92E-09 2.78E-10 3.67E-11 4.43E-12 4.87E-13 4.89E-14 4.48E-15 3.74E-16 2.86E-17
   1.50  0.353  2.26E+00 1.44E+00 1.20E+01 6.40E-02 1.75E-01 2.44E-01 2.61E-01 2.34E-01 1.83E-01 1.26E-01 7.75E-02 4.28E-02 2.13E-02 9.57E-03 3.90E-03 1.44E-03 4.84E-04 1.48E-04 4.10E-05 1.03E-05 2.38E-06 4.99E-07 9.53E-08 1.66E-08 2.63E-09 3.81E-10 5.04E-11 6.07E-12 6.68E-13 6.70E-14 6.14E-15 5.13E-16 3.92E-17
   1.75  0.381  3.25E+00 1.97E+00 1.65E+01 8.77E-02 2.41E-01 3.35E-01 3.58E-01 3.21E-01 2.51E-01 1.73E-01 1.06E-01 5.86E-02 2.92E-02 1.31E-02 5.35E-03 1.98E-03 6.63E-04 2.02E-04 5.61E-05 1.42E-05 3.26E-06 6.84E-07 1.31E-07 2.27E-08 3.61E-09 5.23E-10 6.90E-11 8.32E-12 9.15E-13 9.18E-14 8.41E-15 7.03E-16 5.37E-17
   2.00  0.408  4.60E+00 2.71E+00 2.26E+01 1.20E-01 3.30E-01 4.59E-01 4.91E-01 4.40E-01 3.43E-01 2.37E-01 1.46E-01 8.03E-02 4.00E-02 1.80E-02 7.33E-03 2.71E-03 9.09E-04 2.77E-04 7.70E-05 1.94E-05 4.47E-06 9.37E-07 1.79E-07 3.12E-08 4.95E-09 7.17E-10 9.47E-11 1.14E-11 1.25E-12 1.26E-13 1.15E-14 9.64E-16 7.36E-17
