                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  4.14E-01 8.29E-01 6.93E+00 3.68E-02 1.01E-01 1.41E-01 1.50E-01 1.35E-01 1.05E-01 7.25E-02 4.46E-02 2.46E-02 1.22E-02 5.51E-03 2.24E-03 8.30E-04 2.78E-04 8.49E-05 2.36E-05 5.96E-06 1.37E-06 2.87E-07 5.48E-08 9.55E-09 1.52E-09 2.20E-10 2.90E-11 3.49E-12 3.84E-13 3.86E-14 3.53E-15 2.95E-16 2.26E-17
   0.50  0.204  1.05E+00 1.28E+00 1.07E+01 5.67E-02 1.55E-01 2.16E-01 2.31E-01 2.08E-01 1.62E-01 1.12E-01 6.86E-02 3.79E-02 1.88E-02 8.48E-03 3.45E-03 1.28E-03 4.28E-04 1.31E-04 3.63E-05 9.16E-06 2.11E-06 4.42E-07 8.44E-08 1.47E-08 2.33E-09 3.38E-10 4.46E-11 5.38E-12 5.91E-13 5.93E-14 5.44E-15 4.55E-16 3.47E-17
   0.75  0.250  2.02E+00 1.94E+00 1.62E+01 8.63E-02 2.37E-01 3.29E-01 3.52E-01 3.16E-01 2.46E-01 1.70E-01 1.04E-01 5.77E-02 2.87E-02 1.29E-02 5.26E-03 1.94E-03 6.52E-04 1.99E-04 5.52E-05 1.39E-05 3.21E-06 6.72E-07 1.28E-07 2.24E-08 3.55E-09 5.14E-10 6.79E-11 8.18E-12 9.00E-13 9.03E-14 8.28E-15 6.92E-16 5.28E-17
   1.00  0.288  3.49E+00 2.93E+00 2.45E+01 1.30E-01 3.57E-01 4.97E-01 5.32E-01 4.77E-01 3.72E-01 2.56E-01 1.58E-01 8.70E-02 4.33E-02 1.95E-02 7.94E-03 2.93E-03 9.85E-04 3.00E-04 8.34E-05 2.11E-05 4.84E-06 1.02E-06 1.94E-07 3.38E-08 5.36E-09 7.76E-10 1.03E-10 1.24E-11 1.36E-12 1.36E-13 1.25E-14 1.04E-15 7.97E-17
   1.25  0.322  5.69E+00 4.40E+00 3.68E+01 1.95E-01 5.36E-01 7.46E-01 7.98E-01 7.16E-01 5.58E-01 3.85E-01 2.37E-01 1.31E-01 6.50E-02 2.92E-02 1.19E-02 4.40E-03 1.48E-03 4.51E-04 1.25E-04 3.16E-05 7.27E-06 1.52E-06 2.91E-07 5.07E-08 8.04E-09 1.16E-09 1.54E-10 1.85E-11 2.04E-12 2.05E-13 1.87E-14 1.57E-15 1.20E-16
   1.50  0.353  8.97E+00 6.56E+00 5.48E+01 2.92E-01 8.00E-01 1.11E+00 1.19E+00 1.07E+00 8.33E-01 5.74E-01 3.53E-01 1.95E-01 9.70E-02 4.36E-02 1.78E-02 6.57E-03 2.20E-03 6.72E-04 1.87E-04 4.71E-05 1.08E-05 2.27E-06 4.34E-07 7.56E-08 1.20E-08 1.74E-09 2.30E-10 2.77E-11 3.04E-12 3.05E-13 2.80E-14 2.34E-15 1.78E-16
   1.75  0.381  1.38E+01 9.75E+00 8.15E+01 4.33E-01 1.19E+00 1.65E+00 1.77E+00 1.59E+00 1.24E+00 8.52E-01 5.24E-01 2.89E-01 1.44E-01 6.48E-02 2.64E-02 9.75E-03 3.27E-03 9.99E-04 2.77E-04 7.00E-05 1.61E-05 3.38E-06 6.45E-07 1.12E-07 1.78E-08 2.58E-09 3.41E-10 4.11E-11 4.52E-12 4.53E-13 4.15E-14 3.47E-15 2.65E-16
   2.00  0.408  2.10E+01 1.44E+01 1.21E+02 6.41E-01 1.76E+00 2.45E+00 2.62E+00 2.35E+00 1.83E+00 1.26E+00 7.76E-01 4.28E-01 2.13E-01 9.59E-02 3.91E-02 1.44E-02 4.84E-03 1.48E-03 4.10E-04 1.04E-04 2.38E-05 5.00E-06 9.54E-07 1.66E-07 2.64E-08 3.82E-09 5.04E-10 6.08E-11 6.69E-12 6.71E-13 6.15E-14 5.14E-15 3.92E-16
