                    ************************************************************************************************
                    *  Z= 38 A= 86: Positive-Parity Spin-dependent Level Density [MeV-1] for Sr 86 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   0.25  0.144  4.55E-01 9.10E-01 7.61E+00 4.04E-02 1.11E-01 1.54E-01 1.65E-01 1.48E-01 1.16E-01 7.96E-02 4.89E-02 2.70E-02 1.34E-02 6.05E-03 2.46E-03 9.11E-04 3.06E-04 9.33E-05 2.59E-05 6.54E-06 1.50E-06 3.15E-07 6.02E-08 1.05E-08 1.66E-09 2.41E-10 3.18E-11 3.84E-12 4.22E-13 4.23E-14 3.88E-15 3.24E-16 2.48E-17
   0.50  0.204  1.15E+00 1.39E+00 1.16E+01 6.17E-02 1.69E-01 2.36E-01 2.52E-01 2.26E-01 1.76E-01 1.21E-01 7.47E-02 4.12E-02 2.05E-02 9.23E-03 3.76E-03 1.39E-03 4.66E-04 1.42E-04 3.95E-05 9.97E-06 2.29E-06 4.81E-07 9.18E-08 1.60E-08 2.54E-09 3.68E-10 4.86E-11 5.85E-12 6.43E-13 6.46E-14 5.92E-15 4.95E-16 3.78E-17
   0.75  0.250  2.20E+00 2.10E+00 1.75E+01 9.33E-02 2.56E-01 3.56E-01 3.81E-01 3.42E-01 2.66E-01 1.84E-01 1.13E-01 6.23E-02 3.10E-02 1.40E-02 5.68E-03 2.10E-03 7.05E-04 2.15E-04 5.97E-05 1.51E-05 3.47E-06 7.27E-07 1.39E-07 2.42E-08 3.84E-09 5.56E-10 7.34E-11 8.85E-12 9.73E-13 9.77E-14 8.95E-15 7.48E-16 5.71E-17
   1.00  0.288  3.77E+00 3.15E+00 2.63E+01 1.40E-01 3.84E-01 5.35E-01 5.72E-01 5.13E-01 4.00E-01 2.76E-01 1.70E-01 9.36E-02 4.66E-02 2.10E-02 8.54E-03 3.15E-03 1.06E-03 3.23E-04 8.96E-05 2.26E-05 5.21E-06 1.09E-06 2.09E-07 3.63E-08 5.76E-09 8.35E-10 1.10E-10 1.33E-11 1.46E-12 1.47E-13 1.34E-14 1.12E-15 8.58E-17
   1.25  0.322  6.13E+00 4.71E+00 3.94E+01 2.09E-01 5.74E-01 7.99E-01 8.54E-01 7.66E-01 5.98E-01 4.12E-01 2.53E-01 1.40E-01 6.96E-02 3.13E-02 1.27E-02 4.71E-03 1.58E-03 4.82E-04 1.34E-04 3.38E-05 7.78E-06 1.63E-06 3.11E-07 5.42E-08 8.61E-09 1.25E-09 1.65E-10 1.98E-11 2.18E-12 2.19E-13 2.01E-14 1.68E-15 1.28E-16
   1.50  0.353  9.63E+00 7.00E+00 5.85E+01 3.11E-01 8.53E-01 1.19E+00 1.27E+00 1.14E+00 8.88E-01 6.12E-01 3.76E-01 2.08E-01 1.03E-01 4.65E-02 1.90E-02 7.00E-03 2.35E-03 7.17E-04 1.99E-04 5.03E-05 1.16E-05 2.42E-06 4.63E-07 8.06E-08 1.28E-08 1.85E-09 2.45E-10 2.95E-11 3.24E-12 3.26E-13 2.98E-14 2.49E-15 1.90E-16
   1.75  0.381  1.48E+01 1.04E+01 8.66E+01 4.61E-01 1.26E+00 1.76E+00 1.88E+00 1.69E+00 1.32E+00 9.06E-01 5.57E-01 3.08E-01 1.53E-01 6.89E-02 2.81E-02 1.04E-02 3.48E-03 1.06E-03 2.95E-04 7.45E-05 1.71E-05 3.59E-06 6.86E-07 1.19E-07 1.90E-08 2.74E-09 3.63E-10 4.37E-11 4.80E-12 4.82E-13 4.42E-14 3.69E-15 2.82E-16
   2.00  0.408  2.25E+01 1.53E+01 1.28E+02 6.80E-01 1.86E+00 2.60E+00 2.77E+00 2.49E+00 1.94E+00 1.34E+00 8.23E-01 4.54E-01 2.26E-01 1.02E-01 4.14E-02 1.53E-02 5.14E-03 1.57E-03 4.35E-04 1.10E-04 2.53E-05 5.30E-06 1.01E-06 1.76E-07 2.80E-08 4.05E-09 5.35E-10 6.45E-11 7.09E-12 7.12E-13 6.52E-14 5.45E-15 4.16E-16
